pert_id	cell_iname	pert_type	compound_id	drug_id
BRD-K66956375	HEPG2	trt_cp	BRD-K66956375__HEPG2__trt_cp	oleic monoethanolamide
BRD-K73589491	A549	trt_cp	BRD-K73589491__A549__trt_cp	nizatidine
BRD-K78513633	VCAP	trt_cp	BRD-K78513633__VCAP__trt_cp	lonidamine
BRD-K77286328	PHH	trt_cp	BRD-K77286328__PHH__trt_cp	reversine
BRD-A68723818	ASC	trt_cp	BRD-A68723818__ASC__trt_cp	brompheniramine
BRD-K28183345	NPC	trt_cp	BRD-K28183345__NPC__trt_cp	proguanil
BRD-K51805276	NPC	trt_cp	BRD-K51805276__NPC__trt_cp	temefos
BRD-K65639003	ASC	trt_cp	BRD-K65639003__ASC__trt_cp	icariin
BRD-K79145749	ASC	trt_cp	BRD-K79145749__ASC__trt_cp	dibenzepin
BRD-A09472452	NPC	trt_cp	BRD-A09472452__NPC__trt_cp	flecainide
BRD-A54596827	MCF7	trt_cp	BRD-A54596827__MCF7__trt_cp	solifenacin
BRD-K02265150	VCAP	trt_cp	BRD-K02265150__VCAP__trt_cp	amoxapine
BRD-K40624912	PC3	trt_cp	BRD-K40624912__PC3__trt_cp	zm-39923
BRD-A83855350	PC3	trt_cp	BRD-A83855350__PC3__trt_cp	naltrexone
BRD-K82381502	PC3	trt_cp	BRD-K82381502__PC3__trt_cp	acetylcholine
BRD-A37817666	PC3	trt_cp	BRD-A37817666__PC3__trt_cp	picrotoxin
BRD-K18618618	HT29	trt_cp	BRD-K18618618__HT29__trt_cp	cimetidine
BRD-K08845546	PC3	trt_cp	BRD-K08845546__PC3__trt_cp	tacrolimus
BRD-K60460488	HT29	trt_cp	BRD-K60460488__HT29__trt_cp	nelfinavir
BRD-A83937277	VCAP	trt_cp	BRD-A83937277__VCAP__trt_cp	mephenytoin
BRD-K82731415	HA1E	trt_cp	BRD-K82731415__HA1E__trt_cp	olomoucine
BRD-A65076780	A375	trt_cp	BRD-A65076780__A375__trt_cp	dihydroergocristine
BRD-A31374339	ASC	trt_cp	BRD-A31374339__ASC__trt_cp	fludarabine
BRD-K99498722	NPC	trt_cp	BRD-K99498722__NPC__trt_cp	plinabulin
BRD-A67799922	A375	trt_cp	BRD-A67799922__A375__trt_cp	phenoxybenzamine
BRD-K45861246	HT29	trt_cp	BRD-K45861246__HT29__trt_cp	azaperone
BRD-K61496577	SKB	trt_cp	BRD-K61496577__SKB__trt_cp	flumethasone
BRD-K06902185	NPC	trt_cp	BRD-K06902185__NPC__trt_cp	minoxidil
BRD-A05352148	NPC	trt_cp	BRD-A05352148__NPC__trt_cp	ipratropium
BRD-K60640630	HA1E	trt_cp	BRD-K60640630__HA1E__trt_cp	mometasone
BRD-K35531059	VCAP	trt_cp	BRD-K35531059__VCAP__trt_cp	molsidomine
BRD-A87445400	HA1E	trt_cp	BRD-A87445400__HA1E__trt_cp	yohimbine
BRD-K79425933	HCC515	trt_cp	BRD-K79425933__HCC515__trt_cp	benperidol
BRD-K96740444	A549	trt_cp	BRD-K96740444__A549__trt_cp	itopride
BRD-K22947005	A549	trt_cp	BRD-K22947005__A549__trt_cp	dexbrompheniramine
BRD-K72238567	HA1E	trt_cp	BRD-K72238567__HA1E__trt_cp	fludarabine
BRD-U94846492	HEPG2	trt_cp	BRD-U94846492__HEPG2__trt_cp	quinine
BRD-A00758722	HCC515	trt_cp	BRD-A00758722__HCC515__trt_cp	norethynodrel
BRD-K97863768	HCC515	trt_cp	BRD-K97863768__HCC515__trt_cp	protionamide
BRD-K62200014	HCC515	trt_cp	BRD-K62200014__HCC515__trt_cp	anagrelide
BRD-M47937986	A549	trt_cp	BRD-M47937986__A549__trt_cp	cefatrizine
BRD-K60038276	A549	trt_cp	BRD-K60038276__A549__trt_cp	irbesartan
BRD-K31627533	HEPG2	trt_cp	BRD-K31627533__HEPG2__trt_cp	rimexolone
BRD-A48261811	HT29	trt_cp	BRD-A48261811__HT29__trt_cp	argatroban
BRD-K89626439	ASC	trt_cp	BRD-K89626439__ASC__trt_cp	sirolimus
BRD-K19540840	ASC	trt_cp	BRD-K19540840__ASC__trt_cp	saracatinib
BRD-A75172220	NPC	trt_cp	BRD-A75172220__NPC__trt_cp	hydrocortisone
BRD-A00100033	NPC	trt_cp	BRD-A00100033__NPC__trt_cp	nifurtimox
BRD-A41519720	NPC	trt_cp	BRD-A41519720__NPC__trt_cp	ezetimibe
BRD-K82731415	NPC	trt_cp	BRD-K82731415__NPC__trt_cp	olomoucine
BRD-K53790871	MCF7	trt_cp	BRD-K53790871__MCF7__trt_cp	triamcinolone
BRD-A90311807	MCF7	trt_cp	BRD-A90311807__MCF7__trt_cp	cilastatin
BRD-A25576662	HT29	trt_cp	BRD-A25576662__HT29__trt_cp	streptozocin
BRD-A79465854	HT29	trt_cp	BRD-A79465854__HT29__trt_cp	auranofin
BRD-A82307304	A375	trt_cp	BRD-A82307304__A375__trt_cp	atorvastatin
BRD-A31801025	VCAP	trt_cp	BRD-A31801025__VCAP__trt_cp	formestane
BRD-A84327315	HT29	trt_cp	BRD-A84327315__HT29__trt_cp	calcitriol
BRD-K85985071	VCAP	trt_cp	BRD-K85985071__VCAP__trt_cp	ellipticine
BRD-A48570745	MCF7	trt_cp	BRD-A48570745__MCF7__trt_cp	ivermectin
BRD-K23623876	VCAP	trt_cp	BRD-K23623876__VCAP__trt_cp	perflubutane
BRD-K79602928	VCAP	trt_cp	BRD-K79602928__VCAP__trt_cp	metformin
BRD-K76723084	MCF7	trt_cp	BRD-K76723084__MCF7__trt_cp	isotretinoin
BRD-K28360340	HCC515	trt_cp	BRD-K28360340__HCC515__trt_cp	tw-37
BRD-K35723520	AGS	trt_cp	BRD-K35723520__AGS__trt_cp	darinaparsin
BRD-A65449987	SKB	trt_cp	BRD-A65449987__SKB__trt_cp	flunisolide
BRD-K09549677	SKB	trt_cp	BRD-K09549677__SKB__trt_cp	mibefradil
BRD-U94846492	H1299	trt_cp	BRD-U94846492__H1299__trt_cp	quinine
BRD-A09533288	H1299	trt_cp	BRD-A09533288__H1299__trt_cp	verapamil
BRD-A84481105	H1299	trt_cp	BRD-A84481105__H1299__trt_cp	thioridazine
BRD-K04993501	A375	trt_cp	BRD-K04993501__A375__trt_cp	cefixime
BRD-K54314721	A549	trt_cp	BRD-K54314721__A549__trt_cp	zolmitriptan
BRD-A63667919	A549	trt_cp	BRD-A63667919__A549__trt_cp	methylergometrine
BRD-A44780397	A549	trt_cp	BRD-A44780397__A549__trt_cp	mifepristone
BRD-K69690935	AGS	trt_cp	BRD-K69690935__AGS__trt_cp	curcumin
BRD-K82135108	AGS	trt_cp	BRD-K82135108__AGS__trt_cp	elesclomol
BRD-A39969961	PHH	trt_cp	BRD-A39969961__PHH__trt_cp	eplerenone
BRD-K52075715	SKB	trt_cp	BRD-K52075715__SKB__trt_cp	oxibendazole
BRD-K82846253	MCF7	trt_cp	BRD-K82846253__MCF7__trt_cp	repaglinide
BRD-K49371609	NCIH508	trt_cp	BRD-K49371609__NCIH508__trt_cp	pik-75
BRD-K90333595	A549	trt_cp	BRD-K90333595__A549__trt_cp	phentolamine
BRD-A53952395	A549	trt_cp	BRD-A53952395__A549__trt_cp	prilocaine
BRD-A58955223	NCIH2073	trt_cp	BRD-A58955223__NCIH2073__trt_cp	sulforaphane
BRD-A01320529	HEPG2	trt_cp	BRD-A01320529__HEPG2__trt_cp	salmeterol
BRD-K80431395	A375	trt_cp	BRD-K80431395__A375__trt_cp	triciribine
BRD-K30816563	A375	trt_cp	BRD-K30816563__A375__trt_cp	ranitidine
BRD-A68723818	A375	trt_cp	BRD-A68723818__A375__trt_cp	brompheniramine
BRD-K59163477	A549	trt_cp	BRD-K59163477__A549__trt_cp	cisapride
BRD-K39621635	A375	trt_cp	BRD-K39621635__A375__trt_cp	artemether
BRD-A45664787	NPC	trt_cp	BRD-A45664787__NPC__trt_cp	iloprost
BRD-K13927029	ASC	trt_cp	BRD-K13927029__ASC__trt_cp	vitamin a
BRD-K97564742	A375	trt_cp	BRD-K97564742__A375__trt_cp	mepyramine
BRD-K04111260	NEU	trt_cp	BRD-K04111260__NEU__trt_cp	raclopride
BRD-A46747628	ASC	trt_cp	BRD-A46747628__ASC__trt_cp	ouabain
BRD-A23072235	NPC	trt_cp	BRD-A23072235__NPC__trt_cp	pheniramine
BRD-K77641333	PHH	trt_cp	BRD-K77641333__PHH__trt_cp	naphazoline
BRD-K67847053	PHH	trt_cp	BRD-K67847053__PHH__trt_cp	guanabenz
BRD-K12057390	SKB	trt_cp	BRD-K12057390__SKB__trt_cp	apigenin
BRD-K28761384	A375	trt_cp	BRD-K28761384__A375__trt_cp	zuclopenthixol
BRD-K24023109	HA1E	trt_cp	BRD-K24023109__HA1E__trt_cp	diltiazem
BRD-K18787491	HA1E	trt_cp	BRD-K18787491__HA1E__trt_cp	u-0126
BRD-K13926615	HEPG2	trt_cp	BRD-K13926615__HEPG2__trt_cp	vardenafil
BRD-K54472332	MCF7	trt_cp	BRD-K54472332__MCF7__trt_cp	elvitegravir
BRD-K89055274	HCC515	trt_cp	BRD-K89055274__HCC515__trt_cp	alverine
BRD-A09056319	HCC515	trt_cp	BRD-A09056319__HCC515__trt_cp	alfuzosin
BRD-A02990301	HCC515	trt_cp	BRD-A02990301__HCC515__trt_cp	lofexidine
BRD-K01507359	HA1E	trt_cp	BRD-K01507359__HA1E__trt_cp	rifampicin
BRD-K39188321	HCC515	trt_cp	BRD-K39188321__HCC515__trt_cp	betamethasone
BRD-K15567136	HCC515	trt_cp	BRD-K15567136__HCC515__trt_cp	papaverine
BRD-A69917777	HCC515	trt_cp	BRD-A69917777__HCC515__trt_cp	aminopentamide
BRD-K10042277	A549	trt_cp	BRD-K10042277__A549__trt_cp	norclozapine
BRD-K17561142	HEPG2	trt_cp	BRD-K17561142__HEPG2__trt_cp	amiodarone
BRD-A20697603	PC3	trt_cp	BRD-A20697603__PC3__trt_cp	thiostrepton
BRD-K87142802	A549	trt_cp	BRD-K87142802__A549__trt_cp	veliparib
BRD-K67868012	VCAP	trt_cp	BRD-K67868012__VCAP__trt_cp	pi-103
BRD-K02404261	ASC	trt_cp	BRD-K02404261__ASC__trt_cp	caffeine
BRD-A87445400	NPC	trt_cp	BRD-A87445400__NPC__trt_cp	yohimbine
BRD-K09859624	NPC	trt_cp	BRD-K09859624__NPC__trt_cp	methantheline
BRD-A31312900	PC3	trt_cp	BRD-A31312900__PC3__trt_cp	montelukast
BRD-K99946902	MCF7	trt_cp	BRD-K99946902__MCF7__trt_cp	hexylresorcinol
BRD-K53959060	MCF7	trt_cp	BRD-K53959060__MCF7__trt_cp	indirubin
BRD-K47631482	VCAP	trt_cp	BRD-K47631482__VCAP__trt_cp	bromhexine
BRD-A14395271	HT29	trt_cp	BRD-A14395271__HT29__trt_cp	mesoridazine
BRD-K92991072	VCAP	trt_cp	BRD-K92991072__VCAP__trt_cp	pac-1
BRD-A31800922	HT29	trt_cp	BRD-A31800922__HT29__trt_cp	procyclidine
BRD-K77695569	VCAP	trt_cp	BRD-K77695569__VCAP__trt_cp	thiabendazole
BRD-K03109492	HT29	trt_cp	BRD-K03109492__HT29__trt_cp	nsc-663284
BRD-A14208071	HT29	trt_cp	BRD-A14208071__HT29__trt_cp	oxyphenonium
BRD-A64479082	A375	trt_cp	BRD-A64479082__A375__trt_cp	quinidine
BRD-K79404599	VCAP	trt_cp	BRD-K79404599__VCAP__trt_cp	enzastaurin
BRD-A66559694	VCAP	trt_cp	BRD-A66559694__VCAP__trt_cp	naltrexone
BRD-A37817666	HEPG2	trt_cp	BRD-A37817666__HEPG2__trt_cp	picrotoxin
BRD-K12513978	A375	trt_cp	BRD-K12513978__A375__trt_cp	fenbufen
BRD-A23226398	HT29	trt_cp	BRD-A23226398__HT29__trt_cp	estradiol
BRD-A36471396	HT29	trt_cp	BRD-A36471396__HT29__trt_cp	biperiden
BRD-K63504947	ASC	trt_cp	BRD-K63504947__ASC__trt_cp	semaxanib
BRD-K18779551	ASC	trt_cp	BRD-K18779551__ASC__trt_cp	bifemelane
BRD-K54094468	ASC	trt_cp	BRD-K54094468__ASC__trt_cp	remoxipride
BRD-A97454584	ASC	trt_cp	BRD-A97454584__ASC__trt_cp	nadolol
BRD-K76133116	PHH	trt_cp	BRD-K76133116__PHH__trt_cp	benzydamine
BRD-K09602097	ASC	trt_cp	BRD-K09602097__ASC__trt_cp	colforsin
BRD-K00312224	ASC	trt_cp	BRD-K00312224__ASC__trt_cp	podofilox
BRD-A71459254	MCF7	trt_cp	BRD-A71459254__MCF7__trt_cp	cymarin
BRD-K37814297	PHH	trt_cp	BRD-K37814297__PHH__trt_cp	acepromazine
BRD-A18917088	VCAP	trt_cp	BRD-A18917088__VCAP__trt_cp	estradiol
BRD-K92073408	MCF7	trt_cp	BRD-K92073408__MCF7__trt_cp	norethisterone
BRD-K16195444	VCAP	trt_cp	BRD-K16195444__VCAP__trt_cp	oxymetazoline
BRD-K09416995	HA1E	trt_cp	BRD-K09416995__HA1E__trt_cp	lovastatin
BRD-A68589262	A549	trt_cp	BRD-A68589262__A549__trt_cp	troxipide
BRD-K98530306	HCC515	trt_cp	BRD-K98530306__HCC515__trt_cp	clonidine
BRD-A61793559	HCC515	trt_cp	BRD-A61793559__HCC515__trt_cp	metolazone
BRD-K76723084	A549	trt_cp	BRD-K76723084__A549__trt_cp	isotretinoin
BRD-K53737926	A549	trt_cp	BRD-K53737926__A549__trt_cp	amitriptyline
BRD-K66019333	A549	trt_cp	BRD-K66019333__A549__trt_cp	oxantel
BRD-A98725278	HEPG2	trt_cp	BRD-A98725278__HEPG2__trt_cp	methysergide
BRD-K31553034	HCC515	trt_cp	BRD-K31553034__HCC515__trt_cp	zibotentan
BRD-K84566043	HT29	trt_cp	BRD-K84566043__HT29__trt_cp	fenpiverinium
BRD-A23637604	PC3	trt_cp	BRD-A23637604__PC3__trt_cp	oxymetholone
BRD-K33312228	PC3	trt_cp	BRD-K33312228__PC3__trt_cp	halometasone
BRD-K46742498	PC3	trt_cp	BRD-K46742498__PC3__trt_cp	alosetron
BRD-K83988098	PHH	trt_cp	BRD-K83988098__PHH__trt_cp	alvespimycin
BRD-K53737926	ASC	trt_cp	BRD-K53737926__ASC__trt_cp	amitriptyline
BRD-K67017579	ASC	trt_cp	BRD-K67017579__ASC__trt_cp	cilostazol
BRD-A99411506	NPC	trt_cp	BRD-A99411506__NPC__trt_cp	esculin
BRD-K82818427	HT29	trt_cp	BRD-K82818427__HT29__trt_cp	batimastat
BRD-K61496577	MCF7	trt_cp	BRD-K61496577__MCF7__trt_cp	flumethasone
BRD-K72816382	MCF7	trt_cp	BRD-K72816382__MCF7__trt_cp	cinalukast
BRD-K67100011	PC3	trt_cp	BRD-K67100011__PC3__trt_cp	pivmecillinam
BRD-K54094468	HT29	trt_cp	BRD-K54094468__HT29__trt_cp	remoxipride
BRD-K92073408	HT29	trt_cp	BRD-K92073408__HT29__trt_cp	norethisterone
BRD-K65503129	VCAP	trt_cp	BRD-K65503129__VCAP__trt_cp	cct-018159
BRD-A09495397	A375	trt_cp	BRD-A09495397__A375__trt_cp	bicuculline
BRD-K41445866	VCAP	trt_cp	BRD-K41445866__VCAP__trt_cp	alfaxalone
BRD-K11433652	VCAP	trt_cp	BRD-K11433652__VCAP__trt_cp	acetylsalicylic acid
BRD-K19796430	HCC515	trt_cp	BRD-K19796430__HCC515__trt_cp	sonidegib
BRD-K95921201	HA1E	trt_cp	BRD-K95921201__HA1E__trt_cp	reserpine
BRD-K06980535	HA1E	trt_cp	BRD-K06980535__HA1E__trt_cp	promazine
BRD-K91701654	NEU	trt_cp	BRD-K91701654__NEU__trt_cp	u-0126
BRD-K24053527	SKB	trt_cp	BRD-K24053527__SKB__trt_cp	dextromethorphan
BRD-A09495397	NPC	trt_cp	BRD-A09495397__NPC__trt_cp	bicuculline
BRD-K10467831	A549	trt_cp	BRD-K10467831__A549__trt_cp	tibolone
BRD-K44779798	MCF7	trt_cp	BRD-K44779798__MCF7__trt_cp	miglitol
BRD-K99260425	A375	trt_cp	BRD-K99260425__A375__trt_cp	etodolac
BRD-A95696066	HCC515	trt_cp	BRD-A95696066__HCC515__trt_cp	nisoxetine
BRD-K77947974	NCIH508	trt_cp	BRD-K77947974__NCIH508__trt_cp	fluspirilene
BRD-K37865504	SW480	trt_cp	BRD-K37865504__SW480__trt_cp	ly-2183240
BRD-K15891719	A549	trt_cp	BRD-K15891719__A549__trt_cp	tenofovir
BRD-A16478930	HCC515	trt_cp	BRD-A16478930__HCC515__trt_cp	amcinonide
BRD-K55395145	AGS	trt_cp	BRD-K55395145__AGS__trt_cp	pemetrexed
BRD-K15409150	HA1E	trt_cp	BRD-K15409150__HA1E__trt_cp	penfluridol
BRD-A76941896	HA1E	trt_cp	BRD-A76941896__HA1E__trt_cp	doxorubicin
BRD-K91696562	NEU	trt_cp	BRD-K91696562__NEU__trt_cp	orantinib
BRD-K93331255	NEU	trt_cp	BRD-K93331255__NEU__trt_cp	lypressin
BRD-A11706664	PHH	trt_cp	BRD-A11706664__PHH__trt_cp	triciribine
BRD-A10715913	HT29	trt_cp	BRD-A10715913__HT29__trt_cp	sulpiride
BRD-K76205745	PHH	trt_cp	BRD-K76205745__PHH__trt_cp	losartan
BRD-K59753853	PHH	trt_cp	BRD-K59753853__PHH__trt_cp	mdl-29951
BRD-A73368467	SKB	trt_cp	BRD-A73368467__SKB__trt_cp	fexofenadine
BRD-A62035778	SKB	trt_cp	BRD-A62035778__SKB__trt_cp	scopolamine
BRD-K33453211	NEU	trt_cp	BRD-K33453211__NEU__trt_cp	levocabastine
BRD-K58772419	A375	trt_cp	BRD-K58772419__A375__trt_cp	azd-6482
BRD-K38775274	A375	trt_cp	BRD-K38775274__A375__trt_cp	dexamethasone
BRD-K13049116	HCT116	trt_cp	BRD-K13049116__HCT116__trt_cp	bms-754807
BRD-K02404261	HCC515	trt_cp	BRD-K02404261__HCC515__trt_cp	caffeine
BRD-K98548675	A549	trt_cp	BRD-K98548675__A549__trt_cp	parthenolide
BRD-A05352148	A549	trt_cp	BRD-A05352148__A549__trt_cp	ipratropium
BRD-K09859624	A549	trt_cp	BRD-K09859624__A549__trt_cp	methantheline
BRD-K54233340	NCIH2073	trt_cp	BRD-K54233340__NCIH2073__trt_cp	dorsomorphin
BRD-K67261995	HA1E	trt_cp	BRD-K67261995__HA1E__trt_cp	iodipamide
BRD-K98490050	HA1E	trt_cp	BRD-K98490050__HA1E__trt_cp	amsacrine
BRD-A66199457	A375	trt_cp	BRD-A66199457__A375__trt_cp	asiaticoside
BRD-K32830106	A375	trt_cp	BRD-K32830106__A375__trt_cp	guanfacine
BRD-K76534306	A375	trt_cp	BRD-K76534306__A375__trt_cp	enrofloxacin
BRD-K40902647	HT29	trt_cp	BRD-K40902647__HT29__trt_cp	vincamine
BRD-A21858158	NPC	trt_cp	BRD-A21858158__NPC__trt_cp	praziquantel
BRD-K19533706	NPC	trt_cp	BRD-K19533706__NPC__trt_cp	tranilast
BRD-K20482099	PHH	trt_cp	BRD-K20482099__PHH__trt_cp	rutin
BRD-K67847053	SKB	trt_cp	BRD-K67847053__SKB__trt_cp	guanabenz
BRD-K77830450	SKB	trt_cp	BRD-K77830450__SKB__trt_cp	colforsin
BRD-K69650333	VCAP	trt_cp	BRD-K69650333__VCAP__trt_cp	idarubicin
BRD-A22783572	HA1E	trt_cp	BRD-A22783572__HA1E__trt_cp	vinblastine
BRD-K94441233	HA1E	trt_cp	BRD-K94441233__HA1E__trt_cp	mevastatin
BRD-K24201553	HA1E	trt_cp	BRD-K24201553__HA1E__trt_cp	sb-269970
BRD-K81209512	HA1E	trt_cp	BRD-K81209512__HA1E__trt_cp	tyrphostin b48
BRD-A76528577	VCAP	trt_cp	BRD-A76528577__VCAP__trt_cp	vincristine
BRD-A20126139	VCAP	trt_cp	BRD-A20126139__VCAP__trt_cp	medrysone
BRD-K72029282	VCAP	trt_cp	BRD-K72029282__VCAP__trt_cp	probucol
BRD-A82238138	HA1E	trt_cp	BRD-A82238138__HA1E__trt_cp	budesonide
BRD-K54314721	HCC515	trt_cp	BRD-K54314721__HCC515__trt_cp	zolmitriptan
BRD-K81029756	HCC515	trt_cp	BRD-K81029756__HCC515__trt_cp	diltiazem
BRD-K49671696	HCC515	trt_cp	BRD-K49671696__HCC515__trt_cp	ketanserin
BRD-K49890030	HCC515	trt_cp	BRD-K49890030__HCC515__trt_cp	gavestinel
BRD-K97309399	HCC515	trt_cp	BRD-K97309399__HCC515__trt_cp	thiothixene
BRD-K10995081	HCC515	trt_cp	BRD-K10995081__HCC515__trt_cp	perphenazine
BRD-A75935363	A549	trt_cp	BRD-A75935363__A549__trt_cp	atracurium
BRD-K93331255	A549	trt_cp	BRD-K93331255__A549__trt_cp	lypressin
BRD-K70557564	HEPG2	trt_cp	BRD-K70557564__HEPG2__trt_cp	zosuquidar
BRD-A94709349	A549	trt_cp	BRD-A94709349__A549__trt_cp	metaxalone
BRD-K90789829	A549	trt_cp	BRD-K90789829__A549__trt_cp	nefazodone
BRD-K91370081	HEPG2	trt_cp	BRD-K91370081__HEPG2__trt_cp	anisomycin
BRD-A69960130	HEPG2	trt_cp	BRD-A69960130__HEPG2__trt_cp	bromocriptine
BRD-K81272440	HEPG2	trt_cp	BRD-K81272440__HEPG2__trt_cp	dantrolene
BRD-K77641333	HEPG2	trt_cp	BRD-K77641333__HEPG2__trt_cp	naphazoline
BRD-A59985574	PC3	trt_cp	BRD-A59985574__PC3__trt_cp	topotecan
BRD-K16621777	HCC515	trt_cp	BRD-K16621777__HCC515__trt_cp	enobosarm
BRD-K49668410	PC3	trt_cp	BRD-K49668410__PC3__trt_cp	clarithromycin
BRD-K35708212	PC3	trt_cp	BRD-K35708212__PC3__trt_cp	ouabain
BRD-K92093830	PC3	trt_cp	BRD-K92093830__PC3__trt_cp	doxorubicin
BRD-K82143716	HT29	trt_cp	BRD-K82143716__HT29__trt_cp	flucytosine
BRD-K89626439	SKB	trt_cp	BRD-K89626439__SKB__trt_cp	sirolimus
BRD-K66876909	ASC	trt_cp	BRD-K66876909__ASC__trt_cp	linezolid
BRD-K07881437	SKB	trt_cp	BRD-K07881437__SKB__trt_cp	danusertib
BRD-K24656285	SKB	trt_cp	BRD-K24656285__SKB__trt_cp	farnesol
BRD-A80151636	NPC	trt_cp	BRD-A80151636__NPC__trt_cp	bromocriptine
BRD-A99411506	ASC	trt_cp	BRD-A99411506__ASC__trt_cp	esculin
BRD-A95939040	NPC	trt_cp	BRD-A95939040__NPC__trt_cp	sertaconazole
BRD-A14566392	NPC	trt_cp	BRD-A14566392__NPC__trt_cp	scopolamine
BRD-A79479878	A549	trt_cp	BRD-A79479878__A549__trt_cp	testosterone
BRD-K04210847	VCAP	trt_cp	BRD-K04210847__VCAP__trt_cp	tamoxifen
BRD-A63043573	PC3	trt_cp	BRD-A63043573__PC3__trt_cp	cabergoline
BRD-K56515112	PC3	trt_cp	BRD-K56515112__PC3__trt_cp	medrysone
BRD-K82036761	HT29	trt_cp	BRD-K82036761__HT29__trt_cp	sertraline
BRD-K83597974	PC3	trt_cp	BRD-K83597974__PC3__trt_cp	pargyline
BRD-K89595132	MCF7	trt_cp	BRD-K89595132__MCF7__trt_cp	chlorpheniramine
BRD-K09471561	VCAP	trt_cp	BRD-K09471561__VCAP__trt_cp	levofloxacin
BRD-K15600710	VCAP	trt_cp	BRD-K15600710__VCAP__trt_cp	obatoclax
BRD-K73838513	VCAP	trt_cp	BRD-K73838513__VCAP__trt_cp	cinacalcet
BRD-K28912512	VCAP	trt_cp	BRD-K28912512__VCAP__trt_cp	nicotinamide
BRD-K74141488	VCAP	trt_cp	BRD-K74141488__VCAP__trt_cp	naftifine
BRD-A22897758	VCAP	trt_cp	BRD-A22897758__VCAP__trt_cp	pinacidil
BRD-K44779798	A375	trt_cp	BRD-K44779798__A375__trt_cp	miglitol
BRD-K19277754	A375	trt_cp	BRD-K19277754__A375__trt_cp	paroxetine
BRD-K10573841	PHH	trt_cp	BRD-K10573841__PHH__trt_cp	tunicamycin
BRD-K05926469	A375	trt_cp	BRD-K05926469__A375__trt_cp	lenalidomide
BRD-K22429181	ASC	trt_cp	BRD-K22429181__ASC__trt_cp	vitamin a
BRD-K88625236	HT29	trt_cp	BRD-K88625236__HT29__trt_cp	nonoxynol-9
BRD-A39969961	HT29	trt_cp	BRD-A39969961__HT29__trt_cp	eplerenone
BRD-K82562631	NPC	trt_cp	BRD-K82562631__NPC__trt_cp	tolmetin
BRD-A22783572	NEU	trt_cp	BRD-A22783572__NEU__trt_cp	vinblastine
BRD-A82371568	SKB	trt_cp	BRD-A82371568__SKB__trt_cp	clofarabine
BRD-A95696066	ASC	trt_cp	BRD-A95696066__ASC__trt_cp	nisoxetine
BRD-K04046242	MCF7	trt_cp	BRD-K04046242__MCF7__trt_cp	equilin
BRD-K04993501	MCF7	trt_cp	BRD-K04993501__MCF7__trt_cp	cefixime
BRD-K59469039	A375	trt_cp	BRD-K59469039__A375__trt_cp	tyrphostin ag 879
BRD-A23723433	HA1E	trt_cp	BRD-A23723433__HA1E__trt_cp	paclitaxel
BRD-K97181089	VCAP	trt_cp	BRD-K97181089__VCAP__trt_cp	amiloride
BRD-K14204120	HA1E	trt_cp	BRD-K14204120__HA1E__trt_cp	ranitidine
BRD-K97181089	HA1E	trt_cp	BRD-K97181089__HA1E__trt_cp	amiloride
BRD-K76810206	HCC515	trt_cp	BRD-K76810206__HCC515__trt_cp	nicergoline
BRD-K89997465	A549	trt_cp	BRD-K89997465__A549__trt_cp	chlorpromazine
BRD-K19525698	A549	trt_cp	BRD-K19525698__A549__trt_cp	ozagrel
BRD-K88741031	HEPG2	trt_cp	BRD-K88741031__HEPG2__trt_cp	methyl 2,5-dihydroxycinnamate
BRD-A43940795	HEPG2	trt_cp	BRD-A43940795__HEPG2__trt_cp	tetrahydropalmatine
BRD-A69927616	HT29	trt_cp	BRD-A69927616__HT29__trt_cp	isradipine
BRD-K65261396	ASC	trt_cp	BRD-K65261396__ASC__trt_cp	tacrolimus
BRD-K49810818	SKB	trt_cp	BRD-K49810818__SKB__trt_cp	sorafenib
BRD-A54880345	NPC	trt_cp	BRD-A54880345__NPC__trt_cp	etomidate
BRD-K22503835	NPC	trt_cp	BRD-K22503835__NPC__trt_cp	scriptaid
BRD-A01346607	NPC	trt_cp	BRD-A01346607__NPC__trt_cp	flumethasone
BRD-A43882281	NPC	trt_cp	BRD-A43882281__NPC__trt_cp	pinacidil
BRD-K23478508	NPC	trt_cp	BRD-K23478508__NPC__trt_cp	digoxin
BRD-K88741031	MCF7	trt_cp	BRD-K88741031__MCF7__trt_cp	methyl 2,5-dihydroxycinnamate
BRD-A48631911	HT29	trt_cp	BRD-A48631911__HT29__trt_cp	mibefradil
BRD-K40645748	VCAP	trt_cp	BRD-K40645748__VCAP__trt_cp	mefloquine
BRD-K93461745	VCAP	trt_cp	BRD-K93461745__VCAP__trt_cp	buspirone
BRD-A17883755	VCAP	trt_cp	BRD-A17883755__VCAP__trt_cp	lenalidomide
BRD-K22429181	HT29	trt_cp	BRD-K22429181__HT29__trt_cp	vitamin a
BRD-K19352500	VCAP	trt_cp	BRD-K19352500__VCAP__trt_cp	prochlorperazine
BRD-K23192422	PC3	trt_cp	BRD-K23192422__PC3__trt_cp	lestaurtinib
BRD-A95696066	VCAP	trt_cp	BRD-A95696066__VCAP__trt_cp	nisoxetine
BRD-A30205217	VCAP	trt_cp	BRD-A30205217__VCAP__trt_cp	ethotoin
BRD-A16754160	MCF7	trt_cp	BRD-A16754160__MCF7__trt_cp	ampicillin
BRD-A79768653	AGS	trt_cp	BRD-A79768653__AGS__trt_cp	sirolimus
