pert_id	drug_id	moa
BRD-K69690935	curcumin	Cyclooxygenase inhibitor
BRD-K68558722	deracoxib	Cyclooxygenase inhibitor
BRD-K43764301	dexketoprofen	Cyclooxygenase inhibitor
BRD-K08252256	diclofenac	Cyclooxygenase inhibitor
BRD-K39339537	epirizole	Cyclooxygenase inhibitor
BRD-A16998493	etodolac	Cyclooxygenase inhibitor
BRD-K99260425	etodolac	Cyclooxygenase inhibitor
BRD-A74667430	etodolac	Cyclooxygenase inhibitor
BRD-K73541271	etofenamate	Cyclooxygenase inhibitor
BRD-K54770957	etoricoxib	Cyclooxygenase inhibitor
BRD-K12513978	fenbufen	Cyclooxygenase inhibitor
BRD-K16077845	fentiazac	Cyclooxygenase inhibitor
BRD-A80775386	hyperforin	Cyclooxygenase inhibitor
BRD-A17655518	ibuprofen	Cyclooxygenase inhibitor
BRD-K15426076	iguratimod	Cyclooxygenase inhibitor
BRD-A16296925	indobufen	Cyclooxygenase inhibitor
BRD-A44090213	indoprofen	Cyclooxygenase inhibitor
BRD-K87202646	isoniazid	Cyclooxygenase inhibitor
BRD-A75552914	isoxicam	Cyclooxygenase inhibitor
BRD-A97739905	ketoprofen	Cyclooxygenase inhibitor
BRD-A40639672	ketorolac	Cyclooxygenase inhibitor
BRD-A90551241	lornoxicam	Cyclooxygenase inhibitor
BRD-K26901728	lumiracoxib	Cyclooxygenase inhibitor
BRD-A84174393	meloxicam	Cyclooxygenase inhibitor
BRD-K28849549	mesalazine	Cyclooxygenase inhibitor
BRD-K76812510	metamizole	Cyclooxygenase inhibitor
BRD-K65146499	nabumetone	Cyclooxygenase inhibitor
BRD-K33299843	naproxen	Cyclooxygenase inhibitor
BRD-K59197931	naproxen	Cyclooxygenase inhibitor
BRD-A87719232	naproxen	Cyclooxygenase inhibitor
BRD-K04112579	nepafenac	Cyclooxygenase inhibitor
BRD-K76775527	nimesulide	Cyclooxygenase inhibitor
BRD-K25394294	oxaprozin	Cyclooxygenase inhibitor
BRD-K41524689	acetaminophen	Cyclooxygenase inhibitor
BRD-K13800121	parecoxib	Cyclooxygenase inhibitor
BRD-K38323065	phenacetin	Cyclooxygenase inhibitor
BRD-K10843433	phenylbutazone	Cyclooxygenase inhibitor
BRD-A57382968	piroxicam	Cyclooxygenase inhibitor
BRD-K21733600	rofecoxib	Cyclooxygenase inhibitor
BRD-A03427350	sulindac	Cyclooxygenase inhibitor
BRD-A13946108	sulindac	Cyclooxygenase inhibitor
BRD-K76525302	sulindac	Cyclooxygenase inhibitor
BRD-A34006693	suprofen	Cyclooxygenase inhibitor
BRD-A98378129	talniflumate	Cyclooxygenase inhibitor
BRD-A22844106	tenoxicam	Cyclooxygenase inhibitor
BRD-K82562631	tolmetin	Cyclooxygenase inhibitor
BRD-K71696703	triflusal	Cyclooxygenase inhibitor
BRD-K12994359	valdecoxib	Cyclooxygenase inhibitor
BRD-A38076815	glafenine	DeltaF508-CFTR Corrector
BRD-K71350836	butalbital	GABA receptor antagonist
BRD-K50422030	clomethiazole	GABA receptor antagonist
BRD-A59001851	ginkgolide-b	GABA receptor antagonist
BRD-A82395837	ginkgolide-b	GABA receptor antagonist
BRD-M47793593	picrotoxin	GABA receptor antagonist
BRD-A15597386	picrotoxin	GABA receptor antagonist
BRD-A37817666	picrotoxin	GABA receptor antagonist
BRD-K32247306	primidone	GABA receptor antagonist
BRD-K23248433	camicinal	Motilin receptor agonist
BRD-K82677201	almitrine	Neurotransmitter agonist
BRD-K53737926	amitriptyline	Norepinephrine inhibitor
BRD-K20372197	droxidopa	Norepinephrine precursor
BRD-K21547160	sufentanil	Opiod receptor modulator
BRD-K82135108	elesclomol	Oxidative stress inducer
BRD-A14941520	dofequidar	P-glycoprotein inhibitor
BRD-K88807631	elacridar	P-glycoprotein inhibitor
BRD-K09353376	tariquidar	P-glycoprotein inhibitor
BRD-K19412342	valspodar	P-glycoprotein inhibitor
BRD-K70557564	zosuquidar	P-glycoprotein inhibitor
BRD-K49865102	mirdametinib	Protein kinase inhibitor
BRD-A50454580	mirdametinib	Protein kinase inhibitor
BRD-K01507359	rifampicin	RNA polymerase inhibitor
BRD-K70578146	dactinomycin	RNA polymerase inhibitor
BRD-A73909368	dactinomycin	RNA polymerase inhibitor
BRD-A83892713	rifampicin	RNA polymerase inhibitor
BRD-K99912150	rifampicin	RNA polymerase inhibitor
BRD-K28346421	rifapentine	RNA polymerase inhibitor
BRD-K55889443	rifapentine	RNA polymerase inhibitor
BRD-K81601344	rifapentine	RNA polymerase inhibitor
BRD-K22429181	vitamin a	Retinoid receptor ligand
BRD-K13927029	vitamin a	Retinoid receptor ligand
BRD-K71879491	tretinoin	Retinoid receptor ligand
BRD-K06926592	tretinoin	Retinoid receptor ligand
BRD-K64634304	tretinoin	Retinoid receptor ligand
BRD-A93255169	thalidomide	TNF production inhibitor
BRD-K60762818	desipramine	Tricyclic antidepressant
BRD-K54759182	dosulepin	Tricyclic antidepressant
BRD-K03319035	maprotiline	Tricyclic antidepressant
BRD-K25433859	maprotiline	Tricyclic antidepressant
BRD-K91263825	nortriptyline	Tricyclic antidepressant
BRD-K42098891	protriptyline	Tricyclic antidepressant
BRD-A19195498	trimipramine	Tricyclic antidepressant
BRD-K43149758	myricetin	Androgen receptor agonist
BRD-K43544024	oxandrolone	Androgen receptor agonist
BRD-K92467929	oxandrolone	Androgen receptor agonist
BRD-A23637604	oxymetholone	Androgen receptor agonist
BRD-A93291428	oxymetholone	Androgen receptor agonist
BRD-A82522119	tibolone	Androgen receptor agonist
BRD-K10467831	tibolone	Androgen receptor agonist
BRD-A44448661	pentobarbital	Barbiturate antiepileptic
BRD-K58513245	pamidronic acid	Bone resorption inhibitor
BRD-K73838513	cinacalcet	Calcium channel activator
BRD-K71799949	carbamazepine	Carboxamide antiepileptic
BRD-K32610195	androstenedione	Cytochrome P450 inhibitor
BRD-K15916496	clotrimazole	Cytochrome P450 inhibitor
BRD-K51040301	cobicistat	Cytochrome P450 inhibitor
BRD-K19761926	eplerenone	Cytochrome P450 inhibitor
BRD-A39969961	eplerenone	Cytochrome P450 inhibitor
BRD-K49577446	flunisolide	Cytochrome P450 inhibitor
BRD-K18674849	flunisolide	Cytochrome P450 inhibitor
BRD-A65449987	flunisolide	Cytochrome P450 inhibitor
BRD-K46862739	metyrapone	Cytochrome P450 inhibitor
BRD-K43149758	myricetin	Cytochrome P450 inhibitor
BRD-K00674894	orteronel	Cytochrome P450 inhibitor
BRD-A12409803	orteronel	Cytochrome P450 inhibitor
BRD-K25591257	resveratrol	Cytochrome P450 inhibitor
BRD-K80738081	resveratrol	Cytochrome P450 inhibitor
BRD-K09631521	thiotepa	Cytochrome P450 inhibitor
BRD-K06557128	voriconazole	Cytochrome P450 inhibitor
BRD-K46212057	voriconazole	Cytochrome P450 inhibitor
BRD-K35960502	niclosamide	DNA replication inhibitor
BRD-K24219278	amineptine	Dopamine receptor agonist
BRD-M73371355	apomorphine	Dopamine receptor agonist
BRD-K14496212	bromocriptine	Dopamine receptor agonist
BRD-K72853990	bromocriptine	Dopamine receptor agonist
BRD-A60274948	bromocriptine	Dopamine receptor agonist
BRD-A80151636	bromocriptine	Dopamine receptor agonist
BRD-A69960130	bromocriptine	Dopamine receptor agonist
BRD-K86882815	cabergoline	Dopamine receptor agonist
BRD-A63043573	cabergoline	Dopamine receptor agonist
BRD-K31471398	dihydrexidine	Dopamine receptor agonist
BRD-A99164655	dihydrexidine	Dopamine receptor agonist
BRD-K90711641	dopamine	Dopamine receptor agonist
BRD-K43887077	dopamine	Dopamine receptor agonist
BRD-K58442346	dopamine	Dopamine receptor agonist
BRD-A20958854	dopamine	Dopamine receptor agonist
BRD-K33811357	dopamine	Dopamine receptor agonist
BRD-A50684349	fenoldopam	Dopamine receptor agonist
BRD-K88871508	lisuride	Dopamine receptor agonist
BRD-K56699285	metergoline	Dopamine receptor agonist
BRD-A72309220	metergoline	Dopamine receptor agonist
BRD-A30435184	metergoline	Dopamine receptor agonist
BRD-K60770992	pergolide	Dopamine receptor agonist
BRD-K47936004	piribedil	Dopamine receptor agonist
BRD-K06388322	pramipexole	Dopamine receptor agonist
BRD-K15933101	ropinirole	Dopamine receptor agonist
BRD-K91111634	rotigotine	Dopamine receptor agonist
BRD-K05901394	terguride	Dopamine receptor agonist
BRD-A05186015	bupropion	Dopamine uptake inhibitor
BRD-K22936972	diphenylpyraline	Dopamine uptake inhibitor
BRD-A80775386	hyperforin	Dopamine uptake inhibitor
BRD-A29644307	nomifensine	Dopamine uptake inhibitor
BRD-K96319534	phentermine	Dopamine uptake inhibitor
BRD-K84639753	safinamide	Dopamine uptake inhibitor
BRD-K92613113	safinamide	Dopamine uptake inhibitor
BRD-K32501161	vanoxerine	Dopamine uptake inhibitor
BRD-K41494493	bisphenol a	Estrogen receptor agonist
BRD-K27062708	chlorotrianisene	Estrogen receptor agonist
BRD-K95309561	dienestrol	Estrogen receptor agonist
BRD-K55106630	dienestrol	Estrogen receptor agonist
BRD-K57943804	equilin	Estrogen receptor agonist
BRD-K04046242	equilin	Estrogen receptor agonist
BRD-A88080608	equilin	Estrogen receptor agonist
BRD-K54847683	equol	Estrogen receptor agonist
BRD-A74907996	equol	Estrogen receptor agonist
BRD-K80608265	erteberel	Estrogen receptor agonist
BRD-K60633875	estradiol	Estrogen receptor agonist
BRD-K18910433	estradiol	Estrogen receptor agonist
BRD-A18917088	estradiol	Estrogen receptor agonist
BRD-A23226398	estradiol	Estrogen receptor agonist
BRD-K17016787	estriol	Estrogen receptor agonist
BRD-K32793530	estriol	Estrogen receptor agonist
BRD-A18620900	estriol	Estrogen receptor agonist
BRD-A88939772	estriol	Estrogen receptor agonist
BRD-A84205515	estriol	Estrogen receptor agonist
BRD-K15236393	estrone	Estrogen receptor agonist
BRD-K81839095	estrone	Estrogen receptor agonist
BRD-K69743918	estrone	Estrogen receptor agonist
BRD-A37959677	estrone	Estrogen receptor agonist
BRD-K69253806	hexestrol	Estrogen receptor agonist
BRD-A01078468	hexestrol	Estrogen receptor agonist
BRD-K35189033	levonorgestrel	Estrogen receptor agonist
BRD-K90543092	levonorgestrel	Estrogen receptor agonist
BRD-K92042497	mestranol	Estrogen receptor agonist
BRD-K31920458	mestranol	Estrogen receptor agonist
BRD-K10481964	mestranol	Estrogen receptor agonist
BRD-A14798026	mestranol	Estrogen receptor agonist
BRD-A82522119	tibolone	Estrogen receptor agonist
BRD-K10467831	tibolone	Estrogen receptor agonist
BRD-A22305049	benfluorex	Gluconeogenesis inhibitor
BRD-A49225603	alimemazine	Histamine receptor ligand
BRD-M58473998	alimemazine	Histamine receptor ligand
BRD-K28936863	ketotifen	Histamine receptor ligand
BRD-K16606819	trimethadione	Oxazolidine antiepileptic
BRD-A32161980	carbetocin	Oxytocin receptor agonist
BRD-K17561142	amiodarone	Potassium channel blocker
BRD-K87555556	amiodarone	Potassium channel blocker
BRD-K38913877	azimilide	Potassium channel blocker
BRD-K22482860	dalfampridine	Potassium channel blocker
BRD-K86887724	dofetilide	Potassium channel blocker
BRD-A46179541	doxapram	Potassium channel blocker
BRD-A74391928	ibutilide	Potassium channel blocker
BRD-M56587789	ibutilide	Potassium channel blocker
BRD-K31385749	ivabradine	Potassium channel blocker
BRD-K59332007	linopirdine	Potassium channel blocker
BRD-K66956375	oleic monoethanolamide	Potassium channel blocker
BRD-K31987754	oleic monoethanolamide	Potassium channel blocker
BRD-K19741547	vernakalant	Potassium channel blocker
BRD-K62012036	acitretin	Retinoid receptor agonist
BRD-K90699611	acitretin	Retinoid receptor agonist
BRD-K33127281	adapalene	Retinoid receptor agonist
BRD-K35483542	alitretinoin	Retinoid receptor agonist
BRD-K92441787	bexarotene	Retinoid receptor agonist
BRD-K89085489	fenretinide	Retinoid receptor agonist
BRD-K28168037	fenretinide	Retinoid receptor agonist
BRD-K76723084	isotretinoin	Retinoid receptor agonist
BRD-K83794243	palovarotene	Retinoid receptor agonist
BRD-K36627727	tamibarotene	Retinoid receptor agonist
BRD-K76841105	tazarotene	Retinoid receptor agonist
BRD-K71879491	tretinoin	Retinoid receptor agonist
BRD-K06926592	tretinoin	Retinoid receptor agonist
BRD-K64634304	tretinoin	Retinoid receptor agonist
BRD-K49685476	arotinoid acid	Retinoid receptor agonist
BRD-K68246049	arotinoid acid	Retinoid receptor agonist
BRD-K59256312	gabexate	Serine protease inhibitor
BRD-A99633051	ethosuximide	Succinimide antiepileptic
BRD-K30685142	levothyroxine	Thyroid hormone stimulant
BRD-K89152108	liothyronine	Thyroid hormone stimulant
BRD-K61236135	tiratricol	Thyroid hormone stimulant
BRD-K81209512	tyrphostin b48	Tyrosine kinase inhibitor
BRD-K32285926	amg-208	Tyrosine kinase inhibitor
BRD-K40738845	bms-777607	Tyrosine kinase inhibitor
BRD-K76908866	cp-724714	Tyrosine kinase inhibitor
BRD-K49328571	dasatinib	Tyrosine kinase inhibitor
BRD-K43797669	genistein	Tyrosine kinase inhibitor
BRD-A36151937	genistein	Tyrosine kinase inhibitor
BRD-K02123250	jnj-38877605	Tyrosine kinase inhibitor
BRD-K60623809	su-11652	Tyrosine kinase inhibitor
BRD-K33379087	tivantinib	Tyrosine kinase inhibitor
BRD-K44004064	acefylline	Adenosine receptor agonist
BRD-K01577834	adenosine	Adenosine receptor agonist
BRD-A94624445	bucladesine	Adenosine receptor agonist
BRD-A14652656	bucladesine	Adenosine receptor agonist
BRD-A15070535	bucladesine	Adenosine receptor agonist
BRD-A15931911	bucladesine	Adenosine receptor agonist
BRD-A04706586	bucladesine	Adenosine receptor agonist
BRD-A78341343	regadenoson	Adenosine receptor agonist
BRD-A55416093	colforsin	Adenylyl cyclase activator
BRD-K77830450	colforsin	Adenylyl cyclase activator
BRD-K09602097	colforsin	Adenylyl cyclase activator
BRD-A70449690	colforsin	Adenylyl cyclase activator
BRD-K03015355	colforsin	Adenylyl cyclase activator
BRD-K35498378	alrestatin	Aldose reductase inhibitor
BRD-K98054437	epalrestat	Aldose reductase inhibitor
BRD-A63752151	fidarestat	Aldose reductase inhibitor
BRD-K73991644	isoquercetin	Aldose reductase inhibitor
BRD-K37206356	rhamnetin	Aldose reductase inhibitor
BRD-A89164055	sorbinil	Aldose reductase inhibitor
BRD-K85693895	tolrestat	Aldose reductase inhibitor
BRD-K85518562	cilastatin	Dehydropeptidase inhibitor
BRD-A90311807	cilastatin	Dehydropeptidase inhibitor
BRD-K62370608	cilastatin	Dehydropeptidase inhibitor
BRD-K88611939	aniracetam	Glutamate receptor agonist
BRD-A20589515	dihydroxyphenylglycine	Glutamate receptor agonist
BRD-A02508087	ketamine	Glutamate receptor agonist
BRD-K35531059	molsidomine	Guanylyl cyclase activator
BRD-K63861289	molsidomine	Guanylyl cyclase activator
BRD-K44827188	vismodegib	Hedgehog pathway inhibitor
BRD-A49225603	alimemazine	Histamine receptor agonist
BRD-M58473998	alimemazine	Histamine receptor agonist
BRD-K91290917	amodiaquine	Histamine receptor agonist
BRD-K91315211	betahistine	Histamine receptor agonist
BRD-K20075662	betazole	Histamine receptor agonist
BRD-K01674964	histamine	Histamine receptor agonist
BRD-K28936863	ketotifen	Histamine receptor agonist
BRD-K52662033	lidocaine	Histamine receptor agonist
BRD-A29623586	anisodamine	Lipid peroxidase inhibitor
BRD-K84698278	agomelatine	Melatonin receptor agonist
BRD-K97530723	melatonin	Melatonin receptor agonist
BRD-K28761891	ramelteon	Melatonin receptor agonist
BRD-K07857022	alvimopan	Opioid receptor antagonist
BRD-K33732501	methylnaltrexone	Opioid receptor antagonist
BRD-K66404838	nalbuphine	Opioid receptor antagonist
BRD-A92651262	nalbuphine	Opioid receptor antagonist
BRD-A16934955	nalbuphine	Opioid receptor antagonist
BRD-A72767275	nalmefene	Opioid receptor antagonist
BRD-A70461345	naloxone	Opioid receptor antagonist
BRD-K67511046	naloxone	Opioid receptor antagonist
BRD-A23195370	naloxone	Opioid receptor antagonist
BRD-A41833852	naloxone	Opioid receptor antagonist
BRD-A37541666	naloxone	Opioid receptor antagonist
BRD-K88172511	naltrexone	Opioid receptor antagonist
BRD-A66559694	naltrexone	Opioid receptor antagonist
BRD-A83855350	naltrexone	Opioid receptor antagonist
BRD-K94649603	taxifolin	Opioid receptor antagonist
BRD-K95808480	taxifolin	Opioid receptor antagonist
BRD-K84810405	almorexant	Orexin receptor antagonist
BRD-K94293891	suvorexant	Orexin receptor antagonist
BRD-K67601717	almotriptan	Serotonin receptor agonist
BRD-K70358946	aripiprazole	Serotonin receptor agonist
BRD-K93461745	buspirone	Serotonin receptor agonist
BRD-K59163477	cisapride	Serotonin receptor agonist
BRD-K06895174	cisapride	Serotonin receptor agonist
BRD-A12896037	cisapride	Serotonin receptor agonist
BRD-K42348709	cyclobenzaprine	Serotonin receptor agonist
BRD-K58626373	dexfenfluramine	Serotonin receptor agonist
BRD-A73581086	ergometrine	Serotonin receptor agonist
BRD-K55013654	lorcaserin	Serotonin receptor agonist
BRD-K19554809	mk-212	Serotonin receptor agonist
BRD-A39052811	mosapride	Serotonin receptor agonist
BRD-K75699339	rizatriptan	Serotonin receptor agonist
BRD-K50938287	sumatriptan	Serotonin receptor agonist
BRD-K53963539	vortioxetine	Serotonin receptor agonist
BRD-K88358234	xaliproden	Serotonin receptor agonist
BRD-K54314721	zolmitriptan	Serotonin receptor agonist
BRD-K76210423	resiquimod	Toll-like receptor agonist
BRD-K93433262	alfacalcidol	Vitamin D receptor agonist
BRD-K92644009	alfacalcidol	Vitamin D receptor agonist
BRD-K86284654	alfacalcidol	Vitamin D receptor agonist
BRD-K77175907	calcifediol	Vitamin D receptor agonist
BRD-A78971512	calcifediol	Vitamin D receptor agonist
BRD-K56429665	calcipotriol	Vitamin D receptor agonist
BRD-K96390176	calcipotriol	Vitamin D receptor agonist
BRD-A31158127	calcipotriol	Vitamin D receptor agonist
BRD-K28731095	calcitriol	Vitamin D receptor agonist
BRD-K27316855	calcitriol	Vitamin D receptor agonist
BRD-A84327315	calcitriol	Vitamin D receptor agonist
BRD-A66229260	calcitriol	Vitamin D receptor agonist
BRD-K14550461	doxercalciferol	Vitamin D receptor agonist
BRD-K81332461	maxacalcitol	Vitamin D receptor agonist
BRD-K60585088	paricalcitol	Vitamin D receptor agonist
BRD-K28456624	seocalcitol	Vitamin D receptor agonist
BRD-K73237276	tacalcitol	Vitamin D receptor agonist
BRD-K49522529	alfacalcidol	Vitamin D receptor agonist
BRD-K86307448	allopurinol	Xanthine oxidase inhibitor
BRD-K48367671	febuxostat	Xanthine oxidase inhibitor
BRD-K31841515	oxypurinol	Xanthine oxidase inhibitor
BRD-K77561571	topiroxostat	Xanthine oxidase inhibitor
BRD-K28984613	dutasteride	5 alpha reductase inhibitor
BRD-K01095011	finasteride	5 alpha reductase inhibitor
BRD-K59720958	finasteride	5 alpha reductase inhibitor
BRD-A83081521	finasteride	5 alpha reductase inhibitor
BRD-A07780951	orciprenaline	Adrenergic receptor agonist
BRD-A88254928	salbutamol	Adrenergic receptor agonist
BRD-A37288617	diethylpropion	Adrenergic receptor agonist
BRD-A17462676	bambuterol	Adrenergic receptor agonist
BRD-K68264559	brimonidine	Adrenergic receptor agonist
BRD-A36267905	nylidrin	Adrenergic receptor agonist
BRD-K54142781	cirazoline	Adrenergic receptor agonist
BRD-A75726477	clenbuterol	Adrenergic receptor agonist
BRD-K98530306	clonidine	Adrenergic receptor agonist
BRD-K42348709	cyclobenzaprine	Adrenergic receptor agonist
BRD-A47494775	dipivefrin	Adrenergic receptor agonist
BRD-A78322124	dobutamine	Adrenergic receptor agonist
BRD-K63126190	epinephrine	Adrenergic receptor agonist
BRD-A73581086	ergometrine	Adrenergic receptor agonist
BRD-A09925278	etilefrine	Adrenergic receptor agonist
BRD-A97104540	fenoterol	Adrenergic receptor agonist
BRD-M00539986	formoterol	Adrenergic receptor agonist
BRD-K54006094	formoterol	Adrenergic receptor agonist
BRD-K32830106	guanfacine	Adrenergic receptor agonist
BRD-K89208535	indacaterol	Adrenergic receptor agonist
BRD-K24473282	isoprenaline	Adrenergic receptor agonist
BRD-A04322457	isoprenaline	Adrenergic receptor agonist
BRD-A16700644	isoxsuprine	Adrenergic receptor agonist
BRD-A74269027	isoxsuprine	Adrenergic receptor agonist
BRD-K34469523	levosalbutamol	Adrenergic receptor agonist
BRD-A02990301	lofexidine	Adrenergic receptor agonist
BRD-A21607826	medetomidine	Adrenergic receptor agonist
BRD-A66563878	medetomidine	Adrenergic receptor agonist
BRD-A39189014	methoxamine	Adrenergic receptor agonist
BRD-K48578705	methyldopa	Adrenergic receptor agonist
BRD-A79981887	midodrine	Adrenergic receptor agonist
BRD-A16332958	modafinil	Adrenergic receptor agonist
BRD-M02190957	orciprenaline	Adrenergic receptor agonist
BRD-K16195444	oxymetazoline	Adrenergic receptor agonist
BRD-K73381542	phenylephrine	Adrenergic receptor agonist
BRD-K78666826	procaterol	Adrenergic receptor agonist
BRD-A22684332	procaterol	Adrenergic receptor agonist
BRD-K01638814	rilmenidine	Adrenergic receptor agonist
BRD-M62162320	rilmenidine	Adrenergic receptor agonist
BRD-K51465424	ritodrine	Adrenergic receptor agonist
BRD-A59174698	ritodrine	Adrenergic receptor agonist
BRD-A01320529	salmeterol	Adrenergic receptor agonist
BRD-A04327189	synephrine	Adrenergic receptor agonist
BRD-A50157456	terbutaline	Adrenergic receptor agonist
BRD-M79902621	terbutaline	Adrenergic receptor agonist
BRD-A37441042	tulobuterol	Adrenergic receptor agonist
BRD-A59337442	xamoterol	Adrenergic receptor agonist
BRD-M39942365	xamoterol	Adrenergic receptor agonist
BRD-K08356259	xylometazoline	Adrenergic receptor agonist
BRD-K82164249	andarine	Androgen receptor modulator
BRD-K16621777	enobosarm	Androgen receptor modulator
BRD-A07986123	galeterone	Androgen receptor modulator
BRD-K38868394	mk-0773	Androgen receptor modulator
BRD-K29735307	enobosarm	Androgen receptor modulator
BRD-K94436377	diosmin	Capillary stabilizing agent
BRD-K20482099	rutin	Capillary stabilizing agent
BRD-A76747559	rutin	Capillary stabilizing agent
BRD-A34907681	rutin	Capillary stabilizing agent
BRD-A28940325	trichlormethiazide	Chloride channel antagonist
BRD-A68464583	mazindol	Dopamine reuptake inhibitor
BRD-A59001851	ginkgolide-b	Glycine receptor antagonist
BRD-A82395837	ginkgolide-b	Glycine receptor antagonist
BRD-K73440166	cinaciguat	Guanylate cyclase activator
BRD-K84783599	riociguat	Guanylate cyclase stimulant
BRD-K43236057	polydatin	ICAM-1 expression inhibitor
BRD-K29653726	topiramate	Kainate receptor antagonist
BRD-K53508936	cts-1027	Metalloproteinase inhibitor
BRD-A08545410	doxycycline	Metalloproteinase inhibitor
BRD-A88774919	doxycycline	Metalloproteinase inhibitor
BRD-K73251053	clorgiline	Monoamine oxidase inhibitor
BRD-K46424862	hymecromone	Monoamine oxidase inhibitor
BRD-K93332168	isocarboxazid	Monoamine oxidase inhibitor
BRD-K07237224	moclobemide	Monoamine oxidase inhibitor
BRD-K83597974	pargyline	Monoamine oxidase inhibitor
BRD-K87024524	phenelzine	Monoamine oxidase inhibitor
BRD-K59522102	piperine	Monoamine oxidase inhibitor
BRD-A54490543	pirlindole	Monoamine oxidase inhibitor
BRD-K58114536	rasagiline	Monoamine oxidase inhibitor
BRD-K84639753	safinamide	Monoamine oxidase inhibitor
BRD-K92613113	safinamide	Monoamine oxidase inhibitor
BRD-K86434416	selegiline	Monoamine oxidase inhibitor
BRD-A28545468	selegiline	Monoamine oxidase inhibitor
BRD-K47029922	tranylcypromine	Monoamine oxidase inhibitor
BRD-K88809146	tranylcypromine	Monoamine oxidase inhibitor
BRD-A43974575	tranylcypromine	Monoamine oxidase inhibitor
BRD-K45924332	amrinone	Phosphodiesterase inhibitor
BRD-K62200014	anagrelide	Phosphodiesterase inhibitor
BRD-K93208532	apremilast	Phosphodiesterase inhibitor
BRD-K65781196	avanafil	Phosphodiesterase inhibitor
BRD-K02404261	caffeine	Phosphodiesterase inhibitor
BRD-K62982419	cilomilast	Phosphodiesterase inhibitor
BRD-K38473998	cilomilast	Phosphodiesterase inhibitor
BRD-K67017579	cilostazol	Phosphodiesterase inhibitor
BRD-K86301799	dipyridamole	Phosphodiesterase inhibitor
BRD-A00827783	dyphylline	Phosphodiesterase inhibitor
BRD-K35007173	enprofylline	Phosphodiesterase inhibitor
BRD-K16444452	ibudilast	Phosphodiesterase inhibitor
BRD-K74195153	irsogladine	Phosphodiesterase inhibitor
BRD-K28936863	ketotifen	Phosphodiesterase inhibitor
BRD-K27305650	ly-294002	Phosphodiesterase inhibitor
BRD-K67080878	milrinone	Phosphodiesterase inhibitor
BRD-K82967685	mirodenafil	Phosphodiesterase inhibitor
BRD-K20745393	olprinone	Phosphodiesterase inhibitor
BRD-K15567136	papaverine	Phosphodiesterase inhibitor
BRD-K57569181	pentoxifylline	Phosphodiesterase inhibitor
BRD-K50031829	pf-04447943	Phosphodiesterase inhibitor
BRD-K47642186	piclamilast	Phosphodiesterase inhibitor
BRD-A84575140	pimobendan	Phosphodiesterase inhibitor
BRD-K59273480	propentofylline	Phosphodiesterase inhibitor
BRD-K03194791	roflumilast	Phosphodiesterase inhibitor
BRD-A34255068	rolipram	Phosphodiesterase inhibitor
BRD-K50128260	sildenafil	Phosphodiesterase inhibitor
BRD-K79759585	sildenafil	Phosphodiesterase inhibitor
BRD-K93645900	tadalafil	Phosphodiesterase inhibitor
BRD-K13926615	vardenafil	Phosphodiesterase inhibitor
BRD-K07390541	vinpocetine	Phosphodiesterase inhibitor
BRD-K53318339	vinpocetine	Phosphodiesterase inhibitor
BRD-A19374631	vinpocetine	Phosphodiesterase inhibitor
BRD-K37561857	zardaverine	Phosphodiesterase inhibitor
BRD-K73109821	diazoxide	Potassium channel activator
BRD-K06902185	minoxidil	Potassium channel activator
BRD-K14888893	minoxidil	Potassium channel activator
BRD-A22897758	pinacidil	Potassium channel activator
BRD-A43882281	pinacidil	Potassium channel activator
BRD-A58207013	pinacidil	Potassium channel activator
BRD-K89917372	ezogabine	Potassium channel activator
BRD-K73691377	alprostadil	Prostanoid receptor agonist
BRD-K52459643	alprostadil	Prostanoid receptor agonist
BRD-A45153512	bimatoprost	Prostanoid receptor agonist
BRD-A87848830	bimatoprost	Prostanoid receptor agonist
BRD-K26521938	dinoprostone	Prostanoid receptor agonist
BRD-K57391913	iloprost	Prostanoid receptor agonist
BRD-A45664787	iloprost	Prostanoid receptor agonist
BRD-K10961822	latanoprost	Prostanoid receptor agonist
BRD-A50310035	misoprostol	Prostanoid receptor agonist
BRD-K23976833	travoprost	Prostanoid receptor agonist
BRD-A72351335	misoprostol	Prostanoid receptor agonist
BRD-K03067624	emetine	Protein synthesis inhibitor
BRD-A25687296	emetine	Protein synthesis inhibitor
BRD-K01976263	emetine	Protein synthesis inhibitor
BRD-K49076555	etretinate	Protein synthesis inhibitor
BRD-K36248164	etretinate	Protein synthesis inhibitor
BRD-A52627843	thiostrepton	Protein synthesis inhibitor
BRD-A20697603	thiostrepton	Protein synthesis inhibitor
BRD-K28912512	nicotinamide	Protein synthesis stimulant
BRD-K63178091	telotristat	Serotonin release inhibitor
BRD-K96862998	pirfenidone	TGF beta receptor inhibitor
BRD-K48722258	dilazep	Adenosine reuptake inhibitor
BRD-K59273480	propentofylline	Adenosine reuptake inhibitor
BRD-A29485665	bicalutamide	Androgen receptor antagonist
BRD-K56851771	enzalutamide	Androgen receptor antagonist
BRD-K28307902	flutamide	Androgen receptor antagonist
BRD-K23566484	nilutamide	Androgen receptor antagonist
BRD-K00674894	orteronel	Androgen receptor antagonist
BRD-A12409803	orteronel	Androgen receptor antagonist
BRD-K66956375	oleic monoethanolamide	Cannabinoid receptor agonist
BRD-K31987754	oleic monoethanolamide	Cannabinoid receptor agonist
