pert_id	drug_id
BRD-A50311610	meclizine
BRD-K30743633	TCPOBOP
BRD-K39381259	DMH1
BRD-K43002773	GDC-0068
BRD-A50998626	palomid-529
BRD-K39111395	BCL2-inhibitor
BRD-K70301465	ibrutinib
BRD-K45293975	7-hydroxystaurosporine
BRD-K78373679	Ro-3306
BRD-K65503129	CCT-018159
BRD-A29901043	KIN001-127
BRD-K68407802	KIN001-055
BRD-K42828737	sunitinib
BRD-K84987553	MDM2-inhibitor
BRD-A12230535	nutlin-3
BRD-K00317371	RITA
BRD-K64538373	Ro-4987655
BRD-K89687904	PKCbeta-inhibitor
BRD-A67373739	AICA-ribonucleotide
BRD-K16554956	PTB1
BRD-K96778649	tyrphostin-47
BRD-K29313308	HDAC3-selective
BRD-K76698671	HNHA
BRD-K69840642	ISOX
BRD-K83837640	JNJ-26481585
BRD-K04466929	Merck60
BRD-K12184916	NVP-BEZ235
BRD-K40175214	torin-1
BRD-K68174511	torin-2
BRD-K64785675	TG-100115
BRD-A36318220	necrostatin-1
BRD-K13949769	tenovin-6
BRD-K15318909	PRIMA1
BRD-K96084870	DMBI
BRD-K45841694	IU1
BRD-K51816706	oxindole-I
BRD-K59204667	DBeQ
BRD-K61128465	mdivi-1
BRD-K30577245	docetaxel
BRD-K53792571	inhibitor-BEC
BRD-K61829047	7b-cis
BRD-A39255369	DCPIB
BRD-K78455053	wnt-c59
BRD-K39160765	4-chlorophenylguanidine
BRD-K97056771	GNF-2
BRD-A00376169	KBG
BRD-K70159787	SMI-4a
BRD-K78659596	ixazomib
BRD-K08109215	I-BET-762
BRD-K26997899	D-64131
BRD-K54708045	nTZDpa
BRD-K10870738	CDC
BRD-K63923597	barasertib-HQPA
BRD-K09638361	IC-261
BRD-K69837166	trap-101
BRD-K17896185	FIT
BRD-K09635314	m-3M3FBS
BRD-K04548931	epirubicin
BRD-K99475619	genz-644282
BRD-K08807999	NO-ASA
BRD-K93632104	salicylic-acid
BRD-K45662124	3'-fluorobenzylspiperone
BRD-A80928489	1-monopalmitin
BRD-A16694057	BADGE
BRD-K24859147	KIN001-242
BRD-K17378184	BP-897
BRD-A71203467	L-stepholidine
BRD-K00312224	PPT
BRD-K40919711	BAPTA-AM
BRD-A18497530	5-iodotubercidin
BRD-A96485169	EBPC
BRD-A65145453	ATPA
BRD-K26015241	ODQ
BRD-K25649279	2-iodomelatonin
BRD-K41869275	2-phenylmelatonin
BRD-A33084410	5'-guanidinonaltrindole
BRD-A55484088	BNTX
BRD-K95837862	JDTic
BRD-K30197592	5-methoxytryptamine
BRD-K75844781	mCPP
BRD-K62056274	N-methylquipazine
BRD-A31195449	TCB2
BRD-K94887716	TFMPP
BRD-K26573499	DMAB-anabaseine
BRD-K72004355	CFTRinh-172
BRD-K64746805	MBCQ
BRD-K65285700	GP-1a
BRD-K34608650	GP-2a
BRD-M66874015	quetiapine
BRD-K76568384	PHTPP
BRD-K20755323	SKI-II
BRD-K27450477	EHNA
BRD-K01824921	DPCPX
BRD-K62965247	tipifarnib-P2
BRD-K05653692	DL-PDMP
BRD-A87125127	3-matida
BRD-A18202423	CPCCOEt
BRD-K30572193	CTEP
BRD-K60690191	MPEP
BRD-A11007541	BCI-hydrochloride
BRD-K50293352	MM77
BRD-A15530910	SDZ-21009
BRD-K30421593	timolol
BRD-K16037980	Z160
BRD-K43978949	PIT
BRD-K19796430	sonidegib
BRD-K07954936	2-iminobiotin
BRD-A79431551	3-deazaadenosine
BRD-K06890060	alda-1
BRD-K48619321	methscopolamine
BRD-A47449001	ipratropium
BRD-K43305603	rocuronium
BRD-K60298136	ITE
BRD-A55424491	methotrexate
BRD-K36739687	stemregenin-1
BRD-K76180386	JIB04
BRD-A67748489	K-858
BRD-A63646118	fumonisin-b1
BRD-K09186807	KIN001-244
BRD-A43673346	clindamycin
BRD-K53229386	hesperidin
BRD-K01121114	AT-CSC-18
BRD-K83778500	AT-CSC-18
BRD-K46805185	XMD-1185H
BRD-U22633929	XMD-1185H
BRD-K12906962	dichlorobenzamil
BRD-K63915987	dichlorobenzamil
BRD-K33720404	AT-CSC-07
BRD-K24564544	AT-CSC-07
BRD-A12633378	ML-213
BRD-A13964793	TC-1
BRD-A18279961	TEPP-46
BRD-A28422330	ML-141
BRD-A42628519	iopanoic-acid
BRD-A45869167	SAL-003
BRD-A49035384	metacycline
BRD-A56675431	altizide
BRD-A64808605	AH-11110
BRD-A87715314	pronetalol
BRD-K00256256	AMZ-30
BRD-K06181161	pentoxyverine
BRD-K07442505	BAM-7
BRD-K08478539	SMER-28
BRD-K08681769	ibandronic-acid
BRD-K11640013	sulfadimidine
BRD-K12040459	AT-7867
BRD-K12106308	K-145
BRD-K17498618	atracurium
BRD-K19477839	SGX-523
BRD-K19601669	S-ruxolitinib
BRD-K19939891	TIC-10
BRD-K20463415	LY-2606368
BRD-K21070437	LY-3000328
BRD-K22514639	EGF-816
BRD-K23902832	R-112
BRD-K27074404	VU-0240551
BRD-K27539181	ML-193
BRD-K31792052	pifithrin
BRD-K33586289	EPZ-020411
BRD-K33622447	LY-2835219
BRD-K33743361	ML-133
BRD-K36965586	m-chlorophenylbiguanide
BRD-K38055836	etamivan
BRD-K39624409	ADL-5859
BRD-K41415459	RN-1
BRD-K42629487	SF-11
BRD-K43644456	WP-1130
BRD-K43736954	cortisone
BRD-K46384212	O-3M3FBS
BRD-K46523383	pramocaine
BRD-K47878171	bephenium
BRD-K48062199	GSK-2801
BRD-K48188942	ML-281
BRD-K53281329	BAY-61-3606
BRD-K53328210	JW-55
BRD-K53734668	PRT-062607
BRD-K53734668	BIIB-057
BRD-K54028654	trehalose
BRD-K56033645	methyl-hydantoin
BRD-K56940463	oxetacaine
BRD-K59036917	ML-161
BRD-K59929863	CB-10-277
BRD-K60130390	UNC-0642
BRD-K62621335	SRPIN-340
BRD-K65544384	aminohippuric-acid
BRD-K66035042	mannitol-D
BRD-K66401437	THZ-1
BRD-K67261995	adipiodone
BRD-K70446295	EPZ-015666
BRD-K70446295	epz015666
BRD-K70751730	IOX-1
BRD-K71125014	sulfadimethoxine
BRD-K73391359	quinisocaine
BRD-K75360161	prothionamide
BRD-K77547509	ML-179
BRD-K77634909	AEG-3482
BRD-K79092138	nitrofural
BRD-K79145749	dibenzepin
BRD-K80021413	ML-204
BRD-K82522873	N-6022
BRD-K83020231	DBPR-108
BRD-K83896451	glutamine
BRD-K84892605	IOWH-032
BRD-K87112191	PP-242
BRD-K87465484	UNC-0646
BRD-K88506063	KD-025
BRD-K89306950	ML-130
BRD-K90999434	CCT-031374
BRD-K91733562	secoisolariciresinol
BRD-K92413528	thiazolidinecarboxylic-acid
BRD-K94353609	fluocinolone
BRD-K99984802	flunixin
BRD-K70586315	1-EBIO
BRD-K22745370	2-BFI
BRD-A51713165	3-CPMT
BRD-K65377893	7-aminocephalosporanic-acid
BRD-K77627880	A-205804
BRD-A19134330	A-23187
BRD-K41431477	A-23187
BRD-K88573743	A-443654
BRD-A83650191	A-61603
BRD-K49055432	A-66
BRD-K03301001	A-7
BRD-A78952587	A-740003
BRD-K41918892	A-769662
BRD-A95032015	abacavir
BRD-A29844814	ABT-202
BRD-K91623615	ABT-751
BRD-A95696820	acadesine
BRD-A81585303	acadesine
BRD-M41783010	acamprosate
BRD-K07753030	acecainide
BRD-K68075732	esatenolol
BRD-K97417064	acedapsone
BRD-K37814297	acepromazine
BRD-K77914232	acetaldehyde
BRD-K87070823	acetamide
BRD-K52960356	acetohexamide
BRD-K82381502	acetylcholine
BRD-K46585355	acetylsalicylsalicylic-acid
BRD-A29520968	acifran
BRD-K63736853	acipimox
BRD-K13050541	acivicin
BRD-K33483813	actarit
BRD-A42383464	actinomycin-d
BRD-K32318651	acyclovir
BRD-K40718343	AEE-788
BRD-A61273891	aflatoxin-b1
BRD-K69247067	afloqualone
BRD-K89930444	AG-592
BRD-K51223576	AG-99
BRD-K91495480	AGP-103
BRD-K59339270	AH-6809
BRD-A48300215	ajmaline
BRD-K26807903	aklomide
BRD-K96029467	alagebrium
BRD-K79131256	albendazole
BRD-A67060370	albendazole-oxide
BRD-A13711138	alcuronium
BRD-K08727137	alfadolone
BRD-K51751936	alfadolone-acetate
BRD-K73191876	alizarin
BRD-A96407378	allantoin
BRD-K09767179	allantoxanamide
BRD-K91188791	aloxistatin
BRD-A17745711	alpha-methylserotonin
BRD-A82892199	alpha-tocopherol
BRD-K67043667	altretamine
BRD-K89055274	alverine
BRD-A11813248	AM-92016
BRD-M94527406	amantadine
BRD-K70330367	amantadine
BRD-A10969569	ambelline
BRD-K42948882	AMD-11070
BRD-K43802723	AMG-837
BRD-K21728777	AMG-900
BRD-K12568846	amidopyrine
BRD-K73947551	amifostine
BRD-A30051119	amikacin
BRD-K88043978	amikacin
BRD-K02410399	aminobenztropine
BRD-K51066026	aminoindazole
BRD-A28318179	aminomethyltransferase
BRD-K08697762	aminoresveratrol
BRD-K11700078	amiprilose
BRD-K97643133	amiprilose
BRD-K29530284	amlexanox
BRD-A37390343	amorolfine
BRD-K30600766	amphotericin-b
BRD-K68432770	ampicillin
BRD-A16754160	ampicillin
BRD-K47827687	amprenavir
BRD-K20484910	ampyrone
BRD-K39670393	amthamine
BRD-K36638830	anabasine
BRD-A24284985	anabasine
BRD-K66989831	anacardic-acid
BRD-K45834949	androstanol
BRD-U66370498	androstanol
BRD-K39168746	androsterone
BRD-K12329651	androsterone
BRD-A53566267	anecortave-acetate
BRD-K49060658	anethole
BRD-A75305484	anidulafungin
BRD-K82261406	anisomycin
BRD-K91370081	anisomycin
BRD-A37828317	anthothecol
BRD-K15957397	anthraquinone
BRD-K56032964	AP-26113
BRD-K10859802	APD-668
BRD-K85140930	aphidicolin
BRD-K12057390	apigenin
BRD-K01493881	apigenin
BRD-K85563610	APO-866
BRD-A61486721	apramycin
BRD-K39580048	ARG-A1-2
BRD-K91349888	ARG-A1-22
BRD-K18580829	ARG-CSC-18
BRD-K50289629	ARG-CSC-22
BRD-K60772276	ARG-CSC-26
BRD-K71554540	ARG-CSC-81
BRD-K69181860	ARG-CSC-91
BRD-K16234721	ARG-CSC2-23
BRD-K31780183	ARG-CSC2-40
BRD-A02809788	ARG-TC-41
BRD-K17110974	aristolochic-acid
BRD-K87278688	armodafinil
BRD-K39621635	artemether
BRD-K79759031	artesunate
BRD-K17944737	artesunate
BRD-A47829399	artesunate
BRD-A70514680	articaine
BRD-K27938825	ASA-404
BRD-K35079116	asiatic-acid
BRD-A72758037	asiatic-acid
BRD-A66199457	asiaticoside
BRD-K44241590	ASN-05257430
BRD-K06542892	ASP-3026
BRD-K58435339	AT-13387
BRD-A25337146	AT-SUMO-1
BRD-K90370028	AT1-SHH-09
BRD-K58044374	AT1-SHH-29
BRD-K09757388	atazanavir
BRD-K39252998	atipamezole
BRD-A19795905	atovaquone
BRD-A38161572	atovaquone
BRD-A84493640	atovaquone
BRD-K59946044	atractyloside
BRD-A75935363	atracurium
BRD-K45995181	auranofin
BRD-A79465854	auranofin
BRD-K78838262	austricine
BRD-K64236792	austricine
BRD-K83720053	avagacestat
BRD-K67901620	avasimibe
BRD-A23689620	avermectin
BRD-A15100685	avicin-d
BRD-A33746814	avicin-g
BRD-K03642198	AY-9944
BRD-K42436189	AZ-20
BRD-K59146805	AZ-3146
BRD-K64888243	AZ-960
BRD-K64888243	az960
BRD-K97061094	azacyclonol
BRD-K45861246	azaperone
BRD-K56745457	azauridine
BRD-K21908111	AZD-1208
BRD-K21908111	azd1208
BRD-K77060810	AZD-1283
BRD-K83186168	AZD-1981
BRD-K99113996	AZD-2014
BRD-K85014146	AZD-2461
BRD-K24593301	AZD-3463
BRD-K84996356	AZD-3514
BRD-K28392481	AZD-4547
BRD-K34801930	AZD-5069
BRD-K99023089	AZD-5363
BRD-K72414522	AZD-5438
BRD-A94033181	AZD-6765
BRD-K52836380	AZD-7545
BRD-A87435144	AZD-7545
BRD-K31495718	AZD-7687
BRD-K37687095	AZD-8330
BRD-K98572433	AZD-8931
BRD-K31476763	AZD-9668
BRD-K73794685	azithromycin
BRD-K74501079	azithromycin
BRD-K73437736	azlocillin
BRD-K62607865	aztreonam
BRD-K12437696	aztreonam
BRD-A33070992	bacampicilline
BRD-K40742111	baeomycesic-acid
BRD-A56798952	bafilomycin
BRD-K98733875	baicalin
BRD-K47976015	balapiravir
BRD-K17119186	BAS-00535043
BRD-K06191433	BAS-00594560
BRD-K36267058	BAS-02859604
BRD-K55991774	BAS-09104376
BRD-K25361343	batimastat
BRD-K82818427	batimastat
BRD-K15025317	BAY-11-7082
BRD-K23672206	BCI-540
BRD-K17008822	BD-1008
BRD-K85030058	benactyzine
BRD-K17068645	bendamustine
BRD-A42423104	benproperine
BRD-K76872913	benzanthrone
BRD-M37402942	benzathine
BRD-K11717138	benzbromarone
BRD-K75466013	benzocaine
BRD-K04368295	benzofuran
BRD-K59773493	benzohydroxamic-acid
BRD-A55748233	benzoin
BRD-K70327191	benzoxiquine
BRD-K28542495	benzydamine
BRD-K76133116	benzydamine
BRD-K98494274	benzyl-alcohol
BRD-K52072429	benzyl-benzoate
BRD-K55191674	benzylpenicillin
BRD-A91008255	bepridil
BRD-K12968785	bergapten
BRD-A17555397	beta-alanine
BRD-K74225533	beta-carotene
BRD-A98175426	betaescin
BRD-K16898998	bevirimat-dimeglumine
BRD-K47664560	BG-1001
BRD-K55914420	BG-1002
BRD-K08372451	BG-1003
BRD-K48006774	BG-1004
BRD-K41179159	BG-1006
BRD-K65031973	BG-1007
BRD-A54024781	BG-1008
BRD-K78689929	BG-1009
BRD-A73972952	BG-1010
BRD-K82189384	BG-1011
BRD-K66968629	BG-1012
BRD-K20880473	BG-1013
BRD-K82088145	BG-1014
BRD-A17390249	BG-1015
BRD-K08856548	BG-1016
BRD-K60303132	BG-1017
BRD-K56956679	BG-1018
BRD-K66588514	BG-1019
BRD-K27799527	BG-1020
BRD-K81255325	BG-1021
BRD-K77918867	BG-1022
BRD-K69471245	BG-1023
BRD-K08135697	BG-1024
BRD-K46918889	BG-1025
BRD-K51966546	BG-1026
BRD-K97869369	BG-1027
BRD-K85732814	BG-1028
BRD-K31041191	BG-1029
BRD-K87634564	BG-1030
BRD-K51704689	BG-1031
BRD-K27756844	BG-1032
BRD-K83643280	BG-FA-0953
BRD-K05922103	BG-STK33-03
BRD-K66645150	BG-STK33-55
BRD-K29415052	BGT-226
BRD-K43927145	BIBN-4096
BRD-A09495397	bicuculline
BRD-K25210139	bietaserpine
BRD-A94543220	bifonazole
BRD-A35837007	bilobalide
BRD-K28075147	biochanin-a
BRD-K89210380	biotin
BRD-K63899271	biotin
BRD-K39987650	bisacodyl
BRD-K39120595	bithionol
BRD-K26863634	BIX-01338
BRD-K92817986	BIX-02188
BRD-K20290250	BIX-02188
BRD-K14324645	BJM-AF-64
BRD-A32595718	BJM-CSC-15
BRD-K94248251	BJM-HSC2-10
BRD-K04701986	BL-050
BRD-A38878059	BL-077
BRD-K17820047	BML-210
BRD-K93300946	BML-266
BRD-K81633055	BML-278
BRD-K42624714	BML-284
BRD-K26925640	BML-286
BRD-K02950022	BMS-299897
BRD-A13021932	BMS-509744
BRD-K12811596	BMS-509744
BRD-K49555808	BMS-707035
BRD-K33245965	BMS-833923
BRD-K03440695	boldine
BRD-K87066636	BOX-5
BRD-A83326220	brazilin
BRD-K63425657	NP-010914
BRD-K97274161	K-788-2192
BRD-K77841042	brefeldin-a
BRD-A84228258	brefeldin-a
BRD-A31107743	brefeldin-a
BRD-A17065207	brefeldin-a
BRD-K49669424	bretylium
BRD-A63675168	brivudine
BRD-K84266862	BRL-50481
BRD-A37347161	BRL-52537
BRD-K47631482	bromhexine
BRD-K44665581	bromosporine
BRD-K17500877	bropirimine
BRD-K79095980	broxuridine
BRD-K23301018	broxyquinoline
BRD-A36057565	bruceantin
BRD-K68077509	brucine
BRD-A41995253	brucine
BRD-K55344148	BU-224
BRD-K56115039	BU-226
BRD-K11696279	BU-239
BRD-K25905511	buddleoflavonoloside
BRD-K36660044	bufexamac
BRD-A26097136	bulleyaconitine-a
BRD-A01636364	bupivacaine
BRD-K23204545	busulfan
BRD-K99622919	butacaine
BRD-K27217864	butamben
BRD-K90630139	butenafine
BRD-A83029311	butirosin
BRD-A16665823	butoconazole
BRD-K53153417	butylated-hydroxytoluene
BRD-A24421185	butylscopolammonium
BRD-K68584490	butyrolactone
BRD-K28965160	BVD-523
BRD-K43468059	byssochlamic-acid
BRD-K68548958	C-646
BRD-K06858286	cabazitaxel
BRD-K26134695	calpeptin
BRD-A84045418	calpeptin
BRD-K59851896	calycanthine
BRD-K05563014	CAM-9-021
BRD-K91442916	CAM-9-026
BRD-K45399554	CAM-9-027-3
BRD-K80684056	cantharidin
BRD-K56735750	carbadox
BRD-K77317635	carbadox
BRD-K54208592	carbaryl
BRD-K94848716	carbarsone
BRD-K53570330	carbofuran
BRD-K24169676	carbon-tetrachloride
BRD-K61559475	cardamonin
BRD-K99174507	cardiogenol-c
BRD-K21670884	cariporide
BRD-K67265981	carnosol
BRD-K03600606	catechin
BRD-A61899133	catechin
BRD-K15744901	catharanthine
BRD-K32836707	CAY-10577
BRD-K54987996	CAY-10578
BRD-K45746021	CC-401
BRD-K48213016	CC-930
BRD-K99311057	CD-00491SC
BRD-K20338176	cefaclor
BRD-K87116849	cefalotin
BRD-M47937986	cefatrizine
BRD-K52237148	cefazolin
BRD-A65282128	cefazolin
BRD-K52735702	cefdinir
BRD-K15766189	cefdinir
BRD-K03012696	cefdinir
BRD-A12077521	cefepime
BRD-K58662656	cefepime
BRD-K04993501	cefixime
BRD-K71059170	cefixime
BRD-K54283240	cefixime
BRD-K48470486	cefmetazole
BRD-K02292852	cefoperazone
BRD-K06319591	ceforanide
BRD-K37848908	ceforanide
BRD-A67981824	cefotaxime
BRD-K76018977	cefotaxime
BRD-K91289464	cefotetan
BRD-A78723049	cefotetan
BRD-K21815137	cefotiam
BRD-K02275692	cefotiam
BRD-K70976396	cefoxitin
BRD-K46970505	cefozopran
BRD-A87387433	cefpodoxime
BRD-A85137183	cefprozil
BRD-K81001086	cefsulodin
BRD-K59935627	ceftazidime
BRD-K63641886	cefuroxime
BRD-A76746748	cefuroxime
BRD-K37187815	cefuroxime
BRD-A80960055	celastrol
BRD-A24396574	celastrol
BRD-A28958257	centpropazine
BRD-K80348542	cephaeline
BRD-K90733503	cephalexin
BRD-A08877921	cephalotaxine
BRD-K28210218	cephalothin
BRD-K96194081	cepharanthine
BRD-K41707108	ceramide
BRD-A53416814	ceramide
BRD-A78360835	cercosporin
BRD-K64341947	CFM-1571
BRD-K42859542	CFM-2
BRD-K82028950	CGH-2466
BRD-K79584249	CGM-097
BRD-K22314899	CH-223191
BRD-K87904882	chelerythrine
BRD-K32828673	chelidonine
BRD-K59962020	CHEMBL-374350
BRD-K76894938	CHIR-99021
BRD-K16189898	CHIR-99021
BRD-K29458283	chlorambucil
BRD-K52256627	chlorhexidine
BRD-K90241462	chlormadinone
BRD-K88785477	chloroform
BRD-K47114202	chlorogenic-acid
BRD-A91699651	chloroquine
BRD-K17075857	chloroxine
BRD-K17223896	chloroxylenol
BRD-K08303368	chlorpyrifos
BRD-A39210489	chlortetracycline
BRD-A41555725	chlortetracycline
BRD-A72390365	choline-alfoscerate
BRD-A83695761	chromanol
BRD-K35798075	chrysamine-g
BRD-K18812295	chrysenequinone
BRD-K22861715	chrysin
BRD-K58736316	cianidanol
BRD-K89046952	ciclacillin
BRD-K40901640	cinanserin
BRD-K15522385	cinanserin
BRD-A54537387	cinchonidine
BRD-K14693417	cinchonine
BRD-K72915123	cinchophen
BRD-K46839850	cinepazide
BRD-K14704277	cinoxacin
BRD-K04804440	ciprofloxacin
BRD-A57957888	citiolone
BRD-K29627430	clavulanic-acid
BRD-K04704168	clemizole
BRD-A61676498	climbazole
BRD-A93964801	clinafloxacin
BRD-A52252998	clindamycin
BRD-A23034328	clindamycin
BRD-K09255212	clioquinol
BRD-A43809092	clobutinol
BRD-K56614220	clofazimine
BRD-K02680176	clofilium
BRD-K02900412	clofoctol
BRD-M63173034	clonixin-lysinate
BRD-K15567837	clopamide
BRD-A80908310	cloperastine
BRD-K80036624	clopidol
BRD-K97521363	clorsulon
BRD-A19952358	closantel
BRD-K10990317	clotiapine
BRD-K23933163	cloxacillin
BRD-K01244426	cloxacillin
BRD-K70912147	CO-102862
BRD-K08890269	CO-102862
BRD-K03390685	cobimetinib
BRD-A59431241	COL-3
BRD-K19388745	colforsin-daproate
BRD-K57773246	colistin
BRD-K65428967	cordycepin
BRD-K80110068	cortisone
BRD-A62731508	cortisone
BRD-K06467078	corynanthine
BRD-K13642330	cosmosiin
BRD-K26833429	costunolide
BRD-K94144010	cotinine
BRD-K96271548	coumaric-acid
BRD-K23913458	coumarin
BRD-K41567533	coumophos
BRD-K81876028	CP-93129
BRD-K09090949	CP-945598
BRD-K56940914	cresol
BRD-K20920669	cromoglicic-acid
BRD-K57179821	crotamiton
BRD-K13240564	crotamiton
BRD-K15519488	CS-110266
BRD-K63488275	CS-2092524
BRD-K02822062	CT-200783
BRD-K40870905	CT-7758
BRD-K30632436	CTB
BRD-K89225759	cuneatin
BRD-A50774520	CVF-SUMO-11
BRD-A06929388	CVF-SUMO-13
BRD-A93393712	CVF-SUMO-14
BRD-A25088322	CVF-SUMO-7
BRD-K25140590	CX-516
BRD-K12787259	CX-5461
BRD-A27370296	cyclandelate
BRD-A41250306	cyclopenthiazide
BRD-A77291778	cyclopentolate
BRD-K53226837	cycloserine
BRD-K25504083	cytochalasin-d
BRD-K27665173	D-64406
BRD-K41887956	DAC-003
BRD-K73201151	DAC-004
BRD-A72163687	DAC-009
BRD-K86350435	DAC-012
BRD-K90020768	DAC-013
BRD-K35520305	dacarbazine
BRD-K42095107	daidzein
BRD-K83452553	daminozide
BRD-K93325701	damnacanthal
BRD-K35589454	danegaptide
BRD-K17823458	danoprevir
BRD-K10065684	dantron
BRD-K61269089	daphnetin
BRD-A68929948	DAPT-GSI-IX
BRD-K35723520	darinaparsin
BRD-K02943813	dasabuvir
BRD-K79983625	DC-45-A2
BRD-K32526544	DCEBIO
BRD-K80419150	debrisoquin
BRD-M09350392	debrisoquine
BRD-K23623876	decafluorobutane
BRD-K09821361	deferoxamine-mesylate
BRD-A64125466	dehydrocholate
BRD-K85833139	dehydroepiandrosterone
BRD-K59325863	delanzomib
BRD-A88282067	delcorine
BRD-K79107392	delphinidin
BRD-A34145622	demeclocycline
BRD-A72130500	demeclocycline
BRD-A75368507	demeclocycline
BRD-K37792168	denbufylline
BRD-A58269583	deoxyandirobin
BRD-K24556098	deoxycorticosterone-acetate
BRD-A75402480	deoxycorticosterone-acetate
BRD-A75402480	desoxycorticosterone
BRD-K52015643	deoxyrhapontin
BRD-K94070024	depomedrol
BRD-K07888107	depudecin
BRD-K77685957	dequalinium
BRD-K52696183	desmethylclomipramine
BRD-K39462424	dexchlorpheniramine
BRD-K44309363	dexniguldipine
BRD-K06014311	DH-97
BRD-K55890295	diaminoquinazoline
BRD-K20697946	diarylsulfonesulfonamide
BRD-K48247567	diatrizoic-acid
BRD-K01555864	dibenzoylmethane
BRD-A06726973	dibutyrylcyclic-gmp
BRD-K13664374	dichloroacetic-acid
BRD-K24630133	dichlorodiamine-platinum
BRD-K62326629	dichlorophen
BRD-K23779958	dichlorvos
BRD-A06426627	diclazuril
BRD-K05673000	dicloxacillin
BRD-K29178788	dictamnine
BRD-K81521265	dicyclohexylurea
BRD-K84794093	dideoxyadenosine
BRD-A85777636	dieldrin
BRD-K94080537	diethyltoluamide
BRD-K18518344	digitoxigenin
BRD-K92923799	digitoxigenin
BRD-K18619710	digoxigenin
BRD-K55113501	digoxigenin
BRD-K45882009	dihydrocapsaicin
BRD-A11483079	dihydroobliquin
BRD-A91477472	dihydroptaeroxylin
BRD-K94412972	dihydrorobustic-acid
BRD-K63945320	dihydrosamidin
BRD-K10974103	diloxanide
BRD-K23541596	dimaprit
BRD-K30126819	dimesna
BRD-K43687498	dimethadione
BRD-K91960538	dimethylnitrosamine
BRD-K72728560	dimetridazole
BRD-A05581237	dinorcitalopram-oxalate
BRD-K37723606	dioscin
BRD-K42978307	dioxane
BRD-K22193694	dioxybenzone
BRD-A30693873	diperodon
BRD-K51730347	diphencyprone
BRD-K82577285	dipropyl-dopamine
BRD-K47608922	dipyrocetyl
BRD-K52756523	dirithromycin
BRD-A30142024	dithiothreitol
BRD-K33459542	ditolylguanidine
BRD-K95212245	DM-161
BRD-K06180729	DM-163
BRD-K81592585	DM-55-3
BRD-K89274813	DMP-543
BRD-K64400208	DNQX
BRD-K85266041	DNQX
BRD-K08290224	docebenone
BRD-K39965020	doconexent
BRD-K01624546	docosatrienoic-acid
BRD-A64553394	DPI-201106
BRD-K94920105	DR-2313
BRD-A22267103	drofenine
BRD-K05524748	dronedarone
BRD-A29349577	dropropizine
BRD-K14658796	drotaverine
BRD-A99571536	dubinidine
BRD-K72161580	DY-44
BRD-K72259270	dyclonine
BRD-K50564936	E-2012
BRD-K05444225	E-7449
BRD-K29359156	ebselen
BRD-K03353589	ecabet
BRD-A51820102	econazole
BRD-K35458079	edaravone
BRD-K86892782	edoxudine
BRD-K37355418	efaproxiral
BRD-A10739734	efaroxan
BRD-K80325895	eicosadienoic-acid
BRD-K63913457	eicosatrienoic-acid
BRD-K54472332	elvitegravir
BRD-K89271983	EMD-41000
BRD-A65248799	EMD-53998
BRD-K50234570	EMF-bca1-16
BRD-K68437527	EMF-BCA1-60
BRD-K01712134	EMF-csc-9
BRD-A97833537	EMF-sumo1-1
BRD-A80788753	EMF-sumo1-10
BRD-A77467113	EMF-sumo1-11
BRD-K02421873	EMF-sumo1-12
BRD-A93893742	EMF-sumo1-2
BRD-K94018295	EMF-sumo1-3
BRD-A83124583	EMF-sumo1-39
BRD-K17343332	EMF-sumo1-4
BRD-K14232336	EMF-sumo1-5
BRD-A61666925	EMF-sumo1-6
BRD-K49181186	EMF-sumo1-7
BRD-K38324426	EMF-sumo1-8
BRD-A02198599	EMF-sumo1-9
BRD-K94841585	emodic-acid
BRD-K61452026	emtricitabine
BRD-K54728231	endecaphyllin-x
BRD-K17219111	enevalproate
BRD-K78113049	enoxacin
BRD-K76534306	enrofloxacin
BRD-K08206212	entecavir
BRD-K47554101	eperezolid
BRD-A13982089	ephedrine
BRD-A98431941	ephedrine
BRD-A39268308	epibatidine
BRD-K99502674	epidepride
BRD-K71823332	epothilone-a
BRD-K69070623	EPZ-004777
BRD-K57754230	EPZ-005687
BRD-K74212935	ergocryptine
BRD-K14920963	erythrosine
BRD-K36270037	esculin
BRD-A99411506	esculin
BRD-M72681210	eserine
BRD-K76359782	eseroline
BRD-A70858459	estramustine
BRD-K70515009	estropipate
BRD-A22143024	estropipate
BRD-K51095933	estropipate
BRD-K71055333	etamsylate
BRD-K96042922	etanidazole
BRD-K54556307	ethambutol
BRD-A74500471	ethambutol
BRD-K36756879	ethaverine
BRD-K51207550	ethionamide
BRD-K37208476	ethisterone
BRD-K03981224	ethisterone
BRD-K56792340	ethoxyquin
BRD-K82603084	ethylenediaminetetraacetic-acid
BRD-K63979671	etifenin
BRD-A28019035	etiocholanolone
BRD-K24556407	ETP-46464
BRD-A37942872	eucatropine
BRD-K15842202	eudesmic-acid
BRD-K46068882	eugenitol
BRD-K32977963	eugenol
BRD-K47693913	evoxine
BRD-K12609457	exalamide
BRD-K78633253	EXO-1
BRD-A75931230	F-1061-0166
BRD-K69852452	F-1566-0341
BRD-K45033733	famciclovir
BRD-A08255417	famprofazone
BRD-A57226833	farnesylpyrophosphate
BRD-K63089472	farnesylthioacetic-acid
BRD-K96402602	farnesylthiotriazole
BRD-A49622760	faropenem
BRD-K04264130	favipiravir
BRD-K18157228	fdcyd
