code1	code2	code3	code4	code5	class1	class2	class3	class4	class5	drug
A	A01	A01A	A01AA	A01AA01	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Sodium fluoride	sodium fluoride
A	A01	A01A	A01AA	A01AA02	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Sodium fluorophosphate	sodium fluorophosphate
A	A01	A01A	A01AA	A01AA03	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Olaflur	olaflur
A	A01	A01A	A01AA	A01AA04	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Stannous fluoride	stannous fluoride
A	A01	A01A	A01AA	A01AA51	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Sodium fluoride	sodium fluoride
A	A01	A01A	A01AB	A01AB02	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Hydrogen peroxide	hydrogen peroxide
A	A01	A01A	A01AB	A01AB03	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Chlorhexidine	chlorhexidine
A	A01	A01A	A01AB	A01AB04	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Amphotericin B	amphotericin b
A	A01	A01A	A01AB	A01AB06	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Domiphen	domiphen
A	A01	A01A	A01AB	A01AB07	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Oxyquinoline	oxyquinoline
A	A01	A01A	A01AB	A01AB08	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Neomycin	neomycin
A	A01	A01A	A01AB	A01AB09	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Miconazole	miconazole
A	A01	A01A	A01AB	A01AB10	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Natamycin	natamycin
A	A01	A01A	A01AB	A01AB12	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Hexetidine	hexetidine
A	A01	A01A	A01AB	A01AB13	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Tetracycline	tetracycline
A	A01	A01A	A01AB	A01AB14	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Benzoxonium	benzoxonium
A	A01	A01A	A01AB	A01AB15	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Tibezonium iodide	tibezonium iodide
A	A01	A01A	A01AB	A01AB16	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Mepartricin	mepartricin
A	A01	A01A	A01AB	A01AB17	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Metronidazole	metronidazole
A	A01	A01A	A01AB	A01AB18	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Clotrimazole	clotrimazole
A	A01	A01A	A01AB	A01AB19	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Perboric acid	perboric acid
A	A01	A01A	A01AB	A01AB21	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Chlortetracycline	chlortetracycline
A	A01	A01A	A01AB	A01AB22	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Doxycycline	doxycycline
A	A01	A01A	A01AB	A01AB23	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Minocycline	minocycline
A	A01	A01A	A01AC	A01AC01	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Corticosteroids for local oral treatment	Triamcinolone	triamcinolone
A	A01	A01A	A01AC	A01AC02	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Corticosteroids for local oral treatment	Dexamethasone	dexamethasone
A	A01	A01A	A01AC	A01AC03	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Corticosteroids for local oral treatment	Hydrocortisone	hydrocortisone
A	A01	A01A	A01AC	A01AC54	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Corticosteroids for local oral treatment	Prednisolone	prednisolone
A	A01	A01A	A01AD	A01AD01	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Other agents for local oral treatment	Epinephrine	epinephrine
A	A01	A01A	A01AD	A01AD02	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Other agents for local oral treatment	Benzydamine	benzydamine
A	A01	A01A	A01AD	A01AD05	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Other agents for local oral treatment	Acetylsalicylic acid	acetylsalicylic acid
A	A01	A01A	A01AD	A01AD06	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Other agents for local oral treatment	Adrenalone	adrenalone
A	A01	A01A	A01AD	A01AD07	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Other agents for local oral treatment	Amlexanox	amlexanox
A	A01	A01A	A01AD	A01AD08	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Other agents for local oral treatment	Becaplermin	becaplermin
A	A02	A02A	A02AA	A02AA01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Magnesium compounds	Magnesium carbonate	magnesium carbonate
A	A02	A02A	A02AA	A02AA02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Magnesium compounds	Magnesium oxide	magnesium oxide
A	A02	A02A	A02AA	A02AA03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Magnesium compounds	Magnesium peroxide	magnesium peroxide
A	A02	A02A	A02AA	A02AA04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Magnesium compounds	Magnesium hydroxide	magnesium hydroxide
A	A02	A02A	A02AA	A02AA05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Magnesium compounds	Magnesium silicate	magnesium silicate
A	A02	A02A	A02AB	A02AB01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Aluminium compounds	Aluminum hydroxide	aluminum hydroxide
A	A02	A02A	A02AB	A02AB02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Aluminium compounds	Aluminum hydroxide	aluminum hydroxide
A	A02	A02A	A02AB	A02AB03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Aluminium compounds	Aluminium phosphate	aluminium phosphate
A	A02	A02A	A02AB	A02AB05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Aluminium compounds	Aluminium acetoacetate	aluminium acetoacetate
A	A02	A02A	A02AB	A02AB06	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Aluminium compounds	Aloglutamol	aloglutamol
A	A02	A02A	A02AB	A02AB07	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Aluminium compounds	Aluminium glycinate	aluminium glycinate
A	A02	A02A	A02AC	A02AC01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Calcium compounds	Calcium carbonate	calcium carbonate
A	A02	A02A	A02AC	A02AC02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Calcium compounds	Calcium silicate	calcium silicate
A	A02	A02A	A02AD	A02AD02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Combinations and complexes of aluminium, calcium and magnesium compounds	Magaldrate	magaldrate
A	A02	A02A	A02AD	A02AD03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Combinations and complexes of aluminium, calcium and magnesium compounds	Aluminum hydroxide	aluminum hydroxide
A	A02	A02A	A02AD	A02AD04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Combinations and complexes of aluminium, calcium and magnesium compounds	Hydrotalcite	hydrotalcite
A	A02	A02A	A02AD	A02AD05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Combinations and complexes of aluminium, calcium and magnesium compounds	Almasilate	almasilate
A	A02	A02A	A02AF	A02AF01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Antacids	Antacids with antiflatulents	Magaldrate	magaldrate
A	A02	A02B	A02BA	A02BA01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Cimetidine	cimetidine
A	A02	A02B	A02BA	A02BA02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Ranitidine	ranitidine
A	A02	A02B	A02BA	A02BA03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Famotidine	famotidine
A	A02	A02B	A02BA	A02BA04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Nizatidine	nizatidine
A	A02	A02B	A02BA	A02BA05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Niperotidine	niperotidine
A	A02	A02B	A02BA	A02BA06	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Roxatidine acetate	roxatidine acetate
A	A02	A02B	A02BA	A02BA07	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Ranitidine	ranitidine
A	A02	A02B	A02BA	A02BA08	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Lafutidine	lafutidine
A	A02	A02B	A02BA	A02BA51	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Cimetidine	cimetidine
A	A02	A02B	A02BA	A02BA53	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	H2-receptor antagonists	Famotidine	famotidine
A	A02	A02B	A02BB	A02BB01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Prostaglandins	Misoprostol	misoprostol
A	A02	A02B	A02BB	A02BB02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Prostaglandins	Enprostil	enprostil
A	A02	A02B	A02BC	A02BC01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Omeprazole	omeprazole
A	A02	A02B	A02BC	A02BC02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Pantoprazole	pantoprazole
A	A02	A02B	A02BC	A02BC03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Lansoprazole	lansoprazole
A	A02	A02B	A02BC	A02BC04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Rabeprazole	rabeprazole
A	A02	A02B	A02BC	A02BC05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Esomeprazole	esomeprazole
A	A02	A02B	A02BC	A02BC06	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Dexlansoprazole	dexlansoprazole
A	A02	A02B	A02BC	A02BC07	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Dexrabeprazole	dexrabeprazole
A	A02	A02B	A02BC	A02BC08	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Vonoprazan	vonoprazan
A	A02	A02B	A02BC	A02BC09	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Tegoprazan	tegoprazan
A	A02	A02B	A02BC	A02BC53	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Lansoprazole	lansoprazole
A	A02	A02B	A02BC	A02BC54	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Proton pump inhibitors	Rabeprazole	rabeprazole
A	A02	A02B	A02BD	A02BD01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Omeprazole	omeprazole
A	A02	A02B	A02BD	A02BD01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Metronidazole	metronidazole
A	A02	A02B	A02BD	A02BD01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Lansoprazole	lansoprazole
A	A02	A02B	A02BD	A02BD02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Tetracycline	tetracycline
A	A02	A02B	A02BD	A02BD02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Metronidazole	metronidazole
A	A02	A02B	A02BD	A02BD03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Lansoprazole	lansoprazole
A	A02	A02B	A02BD	A02BD03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Metronidazole	metronidazole
A	A02	A02B	A02BD	A02BD03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Pantoprazole	pantoprazole
A	A02	A02B	A02BD	A02BD04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Omeprazole	omeprazole
A	A02	A02B	A02BD	A02BD05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD06	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Esomeprazole	esomeprazole
A	A02	A02B	A02BD	A02BD06	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD06	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD07	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Lansoprazole	lansoprazole
A	A02	A02B	A02BD	A02BD07	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD07	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD08	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Tetracycline	tetracycline
A	A02	A02B	A02BD	A02BD08	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Metronidazole	metronidazole
A	A02	A02B	A02BD	A02BD08	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Bismuth subcitrate potassium	bismuth subcitrate potassium
A	A02	A02B	A02BD	A02BD09	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Lansoprazole	lansoprazole
A	A02	A02B	A02BD	A02BD09	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Tinidazole	tinidazole
A	A02	A02B	A02BD	A02BD09	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD10	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Lansoprazole	lansoprazole
A	A02	A02B	A02BD	A02BD10	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD10	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Levofloxacin	levofloxacin
A	A02	A02B	A02BD	A02BD11	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Pantoprazole	pantoprazole
A	A02	A02B	A02BD	A02BD11	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Metronidazole	metronidazole
A	A02	A02B	A02BD	A02BD11	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD11	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD12	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD12	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Rabeprazole	rabeprazole
A	A02	A02B	A02BD	A02BD12	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD13	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Metronidazole	metronidazole
A	A02	A02B	A02BD	A02BD13	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD13	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Rabeprazole	rabeprazole
A	A02	A02B	A02BD	A02BD14	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD14	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Clarithromycin	clarithromycin
A	A02	A02B	A02BD	A02BD14	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Vonoprazan	vonoprazan
A	A02	A02B	A02BD	A02BD15	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Metronidazole	metronidazole
A	A02	A02B	A02BD	A02BD15	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BD	A02BD15	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Vonoprazan	vonoprazan
A	A02	A02B	A02BD	A02BD16	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Omeprazole	omeprazole
A	A02	A02B	A02BD	A02BD16	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Rifabutin	rifabutin
A	A02	A02B	A02BD	A02BD16	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Combinations for eradication of Helicobacter pylori	Amoxicillin	amoxicillin
A	A02	A02B	A02BX	A02BX01	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Carbenoxolone	carbenoxolone
A	A02	A02B	A02BX	A02BX02	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Sucralfate	sucralfate
A	A02	A02B	A02BX	A02BX03	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Pirenzepine	pirenzepine
A	A02	A02B	A02BX	A02BX04	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Methylmethionine chloride	methylmethionine chloride
A	A02	A02B	A02BX	A02BX05	Alimentary Tract And Metabolism	Drugs For Acid Related Disorders	Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord)	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Bismuth subcitrate potassium	bismuth subcitrate potassium
